point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e7_4B_u32_x8_h1.00_t32	4B_u32	x8	1.00	10000000	32	PASS	160000000\t11869985458218243503\t9839239262626705393\n	160000000\t11869985458218243503\t9839239262626705393\n	1.01
1e7_4B_u32_unique_h0.05_t32	4B_u32	unique	0.05	10000000	32	PASS	1000000\t3619138587890419494\t1802355362247019494\n	1000000\t3619138587890419494\t1802355362247019494\n	1.66
1e7_4B_u32_unique_h0.50_t32	4B_u32	unique	0.50	10000000	32	PASS	10000000\t1708454865162090523\t12820115466550166387\n	10000000\t1708454865162090523\t12820115466550166387\n	1.66
1e7_4B_u32_unique_h1.00_t32	4B_u32	unique	1.00	10000000	32	PASS	20000000\t522473968066351157\t16936281921857991153\n	20000000\t522473968066351157\t16936281921857991153\n	1.66
1e7_4B_u32_x8_h0.50_t32	4B_u32	x8	0.50	10000000	32	PASS	80000000\t10096040743935180281\t6380775995557860393\n	80000000\t10096040743935180281\t6380775995557860393\n	1.04
1e7_4B_u32_x8_h0.05_t32	4B_u32	x8	0.05	10000000	32	PASS	8000000\t8038661766656750259\t713767681753271897\n	8000000\t8038661766656750259\t713767681753271897\n	0.70
1e7_4B_u32_skew_h1.00_t32	4B_u32	skew	1.00	10000000	32	PASS	160000000\t2907298342559860691\t12379925840835891833\n	160000000\t2907298342559860691\t12379925840835891833\n	1.12
1e7_4B_u32_skew_h0.50_t32	4B_u32	skew	0.50	10000000	32	PASS	80000000\t12725480504286063889\t1692218596500660835\n	80000000\t12725480504286063889\t1692218596500660835\n	1.14
1e7_4B_u32_skew_h0.05_t32	4B_u32	skew	0.05	10000000	32	PASS	8000000\t4505182249853152277\t12127679392199655971\n	8000000\t4505182249853152277\t12127679392199655971\n	0.79
1e7_8B_u64_unique_h1.00_t32	8B_u64	unique	1.00	10000000	32	PASS	20000000\t522473968066351157\t16936281921857991153\n	20000000\t522473968066351157\t16936281921857991153\n	1.23
1e7_8B_u64_x8_h1.00_t32	8B_u64	x8	1.00	10000000	32	PASS	160000000\t11869985458218243503\t9839239262626705393\n	160000000\t11869985458218243503\t9839239262626705393\n	1.03
1e7_8B_u64_unique_h0.05_t32	8B_u64	unique	0.05	10000000	32	PASS	1000000\t3619138587890419494\t1802355362247019494\n	1000000\t3619138587890419494\t1802355362247019494\n	1.52
1e7_8B_u64_unique_h0.50_t32	8B_u64	unique	0.50	10000000	32	PASS	10000000\t1708454865162090523\t12820115466550166387\n	10000000\t1708454865162090523\t12820115466550166387\n	1.54
1e7_8B_u64_x8_h0.50_t32	8B_u64	x8	0.50	10000000	32	PASS	80000000\t10096040743935180281\t6380775995557860393\n	80000000\t10096040743935180281\t6380775995557860393\n	0.83
1e7_8B_u64_x8_h0.05_t32	8B_u64	x8	0.05	10000000	32	PASS	8000000\t8038661766656750259\t713767681753271897\n	8000000\t8038661766656750259\t713767681753271897\n	0.84
1e7_8B_u64_skew_h0.50_t32	8B_u64	skew	0.50	10000000	32	PASS	80000000\t12725480504286063889\t1692218596500660835\n	80000000\t12725480504286063889\t1692218596500660835\n	0.85
1e7_8B_u64_skew_h0.05_t32	8B_u64	skew	0.05	10000000	32	PASS	8000000\t4505182249853152277\t12127679392199655971\n	8000000\t4505182249853152277\t12127679392199655971\n	0.89
1e7_8B_u64_skew_h1.00_t32	8B_u64	skew	1.00	10000000	32	PASS	160000000\t2907298342559860691\t12379925840835891833\n	160000000\t2907298342559860691\t12379925840835891833\n	1.04
1e7_16B_fs16_unique_h1.00_t32	16B_fs16	unique	1.00	10000000	32	PASS	20000000\t8086982915281896948\t15921962496275580870\n	20000000\t8086982915281896948\t15921962496275580870\n	1.65
1e7_16B_fs16_x8_h1.00_t32	16B_fs16	x8	1.00	10000000	32	PASS	160000000\t910977438656058432\t16661678429059407578\n	160000000\t910977438656058432\t16661678429059407578\n	1.27
1e7_16B_fs16_unique_h0.50_t32	16B_fs16	unique	0.50	10000000	32	PASS	10000000\t7804321985807223326\t15569398799258839004\n	10000000\t7804321985807223326\t15569398799258839004\n	1.94
1e7_16B_fs16_unique_h0.05_t32	16B_fs16	unique	0.05	10000000	32	PASS	1000000\t14325751477906432186\t12016523431809651414\n	1000000\t14325751477906432186\t12016523431809651414\n	2.05
