point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e5_4B_u32_unique_h0.05_t1	4B_u32	unique	0.05	100000	1	PASS	10000\t10558013395769730739\t8290785963797954297\n	10000\t10558013395769730739\t8290785963797954297\n	0.21
1e5_4B_u32_unique_h1.00_t1	4B_u32	unique	1.00	100000	1	PASS	200000\t1083901734275433875\t8452977623593523093\n	200000\t1083901734275433875\t8452977623593523093\n	0.23
1e5_4B_u32_unique_h0.50_t1	4B_u32	unique	0.50	100000	1	PASS	100000\t10367453131363798350\t13835507714465697942\n	100000\t10367453131363798350\t13835507714465697942\n	0.26
1e5_4B_u32_x8_h1.00_t32	4B_u32	x8	1.00	100000	32	PASS	1600000\t8909323715589066384\t17826463736325669724\n	1600000\t8909323715589066384\t17826463736325669724\n	0.28
1e5_4B_u32_unique_h0.05_t32	4B_u32	unique	0.05	100000	32	PASS	10000\t10558013395769730739\t8290785963797954297\n	10000\t10558013395769730739\t8290785963797954297\n	0.29
1e5_4B_u32_unique_h1.00_t32	4B_u32	unique	1.00	100000	32	PASS	200000\t1083901734275433875\t8452977623593523093\n	200000\t1083901734275433875\t8452977623593523093\n	0.30
1e5_4B_u32_x8_h1.00_t1	4B_u32	x8	1.00	100000	1	PASS	1600000\t8909323715589066384\t17826463736325669724\n	1600000\t8909323715589066384\t17826463736325669724\n	0.30
1e5_4B_u32_unique_h0.50_t32	4B_u32	unique	0.50	100000	32	PASS	100000\t10367453131363798350\t13835507714465697942\n	100000\t10367453131363798350\t13835507714465697942\n	0.31
1e5_4B_u32_x8_h0.50_t1	4B_u32	x8	0.50	100000	1	PASS	800000\t4097038427540801338\t11372366015435097152\n	800000\t4097038427540801338\t11372366015435097152\n	0.25
1e5_4B_u32_x8_h0.50_t32	4B_u32	x8	0.50	100000	32	PASS	800000\t4097038427540801338\t11372366015435097152\n	800000\t4097038427540801338\t11372366015435097152\n	0.25
1e5_4B_u32_x8_h0.05_t1	4B_u32	x8	0.05	100000	1	PASS	80000\t14637090696715834797\t2210469344846930467\n	80000\t14637090696715834797\t2210469344846930467\n	0.24
1e5_4B_u32_x8_h0.05_t32	4B_u32	x8	0.05	100000	32	PASS	80000\t14637090696715834797\t2210469344846930467\n	80000\t14637090696715834797\t2210469344846930467\n	0.24
1e5_4B_u32_skew_h0.50_t1	4B_u32	skew	0.50	100000	1	PASS	799876\t155253779406337662\t15257864880244609968\n	799876\t155253779406337662\t15257864880244609968\n	0.24
1e5_4B_u32_skew_h1.00_t1	4B_u32	skew	1.00	100000	1	PASS	1599748\t8356568152455847776\t11146582142295452132\n	1599748\t8356568152455847776\t11146582142295452132\n	0.29
