unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
fixstr:probe.inner_all.S2.T96	TIE	7176754.0	6469474.5	-707279.5	-9.855	11.119		TIE	2172584.0	2167491.0	-5093.0	-0.234	3.000		561.0	574.5	7176193.0	6468942.0	9349708.5	8634554.5	302631.5	302274.5
k128:probe.inner_all.S2.T96	TIE	8155072.5	8197986.5	42914.0	0.526	3.000		TIE	2161850.0	2162941.5	1091.5	0.050	3.000		34.5	42.0	8155020.5	8197907.0	10318434.0	10397855.5	420479.0	421149.0
k256:probe.inner_all.S2.T96	TIE	14702494.5	14732248.5	29754.0	0.202	3.000		TIE	2141971.0	2141883.0	-88.0	-0.004	3.000		338.0	356.5	14702167.5	14731896.5	16834836.5	16860815.0	610906.0	612395.0
key32:probe.inner_all.S2.T96	TIE	4190576.0	4193855.5	3279.5	0.078	4.340		TIE	2184460.5	2184600.0	139.5	0.006	3.000		472.0	531.0	4190120.0	4193336.5	6369771.5	6383532.5	259781.5	258193.5
key64:build.inner_all.S2.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 24.5 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 24.5 ms < 200 ms)	0.0	0.0	1062.0	1044.5	2032.5	2015.0	24475.5	25871.0
key64:probe.inner_all.S2.T96	TIE	4953585.0	4837578.5	-116006.5	-2.342	3.772		TIE	2201398.5	2205186.5	3788.0	0.172	3.000		592.5	531.5	4952965.5	4837038.0	7145948.5	7036504.5	302818.5	299743.5
lcstr:probe.inner_all.S2.T96	TIE	11429297.5	11761621.0	332323.5	2.908	12.847		TIE	2164772.5	2170069.5	5297.0	0.245	3.000		115.5	121.5	11429200.0	11761515.5	13595792.5	13927262.0	1073332.0	1073322.0
mixed:probe.inner_all.S2.T96	TIE	18817374.5	18756515.5	-60859.0	-0.323	3.000		TIE	1982103.0	1984593.5	2490.5	0.126	3.000		12.5	14.0	18817367.5	18756501.0	20798993.0	20738139.0	460802.5	459856.0
null64:probe.inner_all.S2.T96	TIE	5529887.5	5532567.5	2680.0	0.048	4.469		TIE	2338850.0	2347744.0	8894.0	0.380	3.000		862.0	816.5	5529019.5	5531743.5	7864120.5	7880567.0	368497.5	370029.0
str:probe.inner_all.S2.T96	TIE	9643442.0	9555794.0	-87648.0	-0.909	3.000		TIE	2076240.5	2070398.5	-5842.0	-0.281	3.000		221.5	233.5	9643205.0	9555554.0	11726617.0	11628677.0	292212.5	291501.0
