unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
D1000000_K2_mb1_mp64_h1.0_bp8_pp8_T8	TIE	2908046	2851664	-56382	-1.939	3.000		WIN	969358	930022	-39336	-4.058	3.000		23	25	2908010	2851608	3877404	3778613	753000	743000
D262144_K5_mb1_mp256_h1.0_bp8_pp8_T16	TIE	4243973	4249034	5061	0.119	3.000		LOSS	772466	806934	34468	4.462	3.000		26	17	4243943	4249033	5028499	5055968	424000	423000
D32000000_K4_mb1_mp1_h1.0_bp8_pp8_T16	TIE	3125247	3116851	-8396	-0.269	3.000		TIE	748063	754467	6404	0.856	3.000		0	0	3125227	3116831	3871254	3872071	479000	488000
D32000000_K6_mb16_mp1_h1.0_bp8_pp8_T96	TIE	12663139	12639837	-23302	-0.184	3.000		TIE	23616777	23542777	-74000	-0.313	3.000		224	212	12662891	12639571	36279916	36182614	6681000	6738000
D32000000_K8_mb1_mp1_h1.0_bp8_pp8_T16	TIE	814195	814775	580	0.071	3.000		TIE	719088	723641	4553	0.633	3.000		0	0	814161	814775	1533131	1538416	203000	206000
D32000000_K9_mb16_mp1_h1.0_bp8_pp8_T96	TIE	9685842	9768870	83028	0.857	3.000		TIE	20659384	20566644	-92740	-0.449	3.000		133	136	9685733	9768728	30374420	30331186	4180000	4242000
D65536_K0_mb1_mp16_h1.0_bp8_pp8_T16	TIE	10663	10583	-80	-0.750	3.622		TIE	8274	8552	278	3.360	4.516		0	0	10663	10583	18778	19335	9000	9000
D8000000_K1_mb1_mp1_h1.0_bp8_pp8_T16	TIE	228555	229420	865	0.378	3.000		TIE	158585	160753	2168	1.367	3.000		1	0	228554	229420	388325	390399	73000	74000
D8000000_K3_mb16_mp1_h1.0_bp8_pp8_T96	TIE	5170995	5232260	61265	1.185	3.000		TIE	7899302	7868361	-30941	-0.392	3.000		123	113	5170872	5232158	13055739	13115631	2737000	2803000
D8000000_K7_mb16_mp1_h1.0_bp8_pp8_T96	TIE	4601279	4559416	-41863	-0.910	3.000		TIE	6159978	6221106	61128	0.992	3.000		214	214	4601065	4559242	10728622	10780522	2640000	2650000
