unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
D1000000_K2_mb1_mp64_h1.0_bp8_pp8_T8	TIE	2850511	2839115	-11396	-0.400	3.000		TIE	945857	928407	-17450	-1.845	3.354		21	27	2850490	2839105	3793158	3764896	739000	741000
D262144_K5_mb1_mp256_h1.0_bp8_pp8_T16	TIE	4133214	4231208	97994	2.371	3.000		LOSS	775368	815151	39783	5.131	4.479		24	28	4133198	4231180	4935687	5067262	416000	424000
D32000000_K4_mb1_mp1_h1.0_bp8_pp8_T16	TIE	3114809	3138928	24119	0.774	3.000		TIE	746637	753103	6466	0.866	3.000		0	0	3114809	3138928	3862251	3892896	476000	481000
D32000000_K6_mb16_mp1_h1.0_bp8_pp8_T96	LOSS	12381597	12859788	478191	3.862	3.000		TIE	23333542	23407108	73566	0.315	3.000		220	194	12381348	12859607	35711301	36185109	5973000	6197000
D32000000_K8_mb1_mp1_h1.0_bp8_pp8_T16	TIE	813288	815921	2633	0.324	3.000		TIE	722893	726903	4010	0.555	3.000		0	0	813288	815921	1534647	1543589	203000	205000
D32000000_K9_mb16_mp1_h1.0_bp8_pp8_T96	TIE	9672497	9744749	72252	0.747	3.000		TIE	20638667	20634711	-3956	-0.019	3.000		151	132	9672350	9744630	30418042	30401983	4350000	4266000
D65536_K0_mb1_mp16_h1.0_bp8_pp8_T16	TIE	10751	10715	-36	-0.335	5.253		TIE	8534	9023	489	5.730	7.406		0	0	10751	10715	19342	19636	8000	9000
D8000000_K1_mb1_mp1_h1.0_bp8_pp8_T16	TIE	224492	229153	4661	2.076	3.000		TIE	158999	160517	1518	0.955	3.000		0	0	224476	229153	383762	389386	73000	74000
D8000000_K3_mb16_mp1_h1.0_bp8_pp8_T96	TIE	5116578	5232139	115561	2.259	3.000		TIE	7829236	7828073	-1163	-0.015	3.000		132	116	5116426	5232035	12908233	13056240	2791000	2755000
D8000000_K7_mb16_mp1_h1.0_bp8_pp8_T96	TIE	4544476	4620732	76256	1.678	3.000		TIE	6198836	6150133	-48703	-0.786	3.000		207	210	4544239	4620534	10746347	10760592	2723000	2735000
