unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
D1000000_K2_mb1_mp64_h1.0_bp8_pp8_T8	TIE	2816058	2870054	53996	1.917	3.099		TIE	936495	941725	5230	0.558	3.811		17	16	2816045	2870054	3748406	3813925	732000	748000
D262144_K5_mb1_mp256_h1.0_bp8_pp8_T16	TIE	4207213	4230579	23366	0.555	3.000		TIE	802180	821946	19766	2.464	3.937		20	20	4207194	4230528	5025642	5052525	423000	424000
D32000000_K4_mb1_mp1_h1.0_bp8_pp8_T16	TIE	3148704	3148545	-159	-0.005	3.000		TIE	748346	746401	-1945	-0.260	3.000		0	9	3148704	3148544	3898617	3892091	477000	477000
D32000000_K6_mb16_mp1_h1.0_bp8_pp8_T96	TIE	12526362	12840585	314223	2.508	3.000		TIE	23194279	23250971	56692	0.244	3.000		208	234	12526171	12840325	35790261	36034946	6271000	6172000
D32000000_K8_mb1_mp1_h1.0_bp8_pp8_T16	TIE	814243	812790	-1453	-0.178	3.000		TIE	720624	724292	3668	0.509	3.000		0	0	814243	812775	1534167	1533851	203000	207000
D32000000_K9_mb16_mp1_h1.0_bp8_pp8_T96	TIE	9901404	9791286	-110118	-1.112	3.000		TIE	20643057	20582001	-61056	-0.296	3.000		127	128	9901277	9791138	30544461	30349532	4177000	4051000
D65536_K0_mb1_mp16_h1.0_bp8_pp8_T16	LOSS	10462	10986	524	5.009	4.590		TIE	8274	8497	223	2.695	6.914		0	0	10462	10986	18612	19546	8000	9000
D8000000_K1_mb1_mp1_h1.0_bp8_pp8_T16	TIE	227110	227852	742	0.327	3.000		TIE	159672	159125	-547	-0.343	3.000		0	0	227110	227852	386582	386802	73000	73000
D8000000_K3_mb16_mp1_h1.0_bp8_pp8_T96	TIE	5066025	5087856	21831	0.431	3.000		TIE	7753313	7823041	69728	0.899	3.000		110	125	5065927	5087731	12849983	12920222	2749000	2763000
D8000000_K7_mb16_mp1_h1.0_bp8_pp8_T96	TIE	4508120	4527766	19646	0.436	3.000		TIE	6165565	6120267	-45298	-0.735	3.000		192	195	4507929	4527571	10663129	10674197	2609000	2630000
