unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
D1000000_K2_mb1_mp64_h1.0_bp8_pp8_T8	TIE	2813993	2870940	56947	2.024	3.000		TIE	942346	947407	5061	0.537	3.333		35	20	2813965	2870922	3743191	3825444	736000	742000
D262144_K5_mb1_mp256_h1.0_bp8_pp8_T16	TIE	4200713	4183801	-16912	-0.403	3.000		TIE	789468	793336	3868	0.490	4.741		31	22	4200684	4183792	4978649	5002318	421000	420000
D32000000_K4_mb1_mp1_h1.0_bp8_pp8_T16	TIE	3137459	3123168	-14291	-0.455	3.000		TIE	748422	747938	-484	-0.065	3.000		0	0	3137459	3123168	3886263	3871106	481000	478000
D32000000_K6_mb16_mp1_h1.0_bp8_pp8_T96	TIE	12451455	12595088	143633	1.154	3.000		TIE	23260105	23173709	-86396	-0.371	3.000		204	218	12451140	12594802	35706246	35768797	5998000	6353000
D32000000_K8_mb1_mp1_h1.0_bp8_pp8_T16	TIE	814075	805356	-8719	-1.071	3.000		TIE	720533	716671	-3862	-0.536	3.000		0	0	814075	805355	1533941	1521818	204000	203000
D32000000_K9_mb16_mp1_h1.0_bp8_pp8_T96	TIE	9968115	9873512	-94603	-0.949	3.000		TIE	20888359	20956972	68613	0.328	3.000		134	139	9968004	9873359	30870505	30873533	4501000	4460000
D65536_K0_mb1_mp16_h1.0_bp8_pp8_T16	LOSS	10360	10901	541	5.222	3.560		TIE	8139	8469	330	4.055	5.812		0	0	10360	10901	18310	19232	8000	8000
D8000000_K1_mb1_mp1_h1.0_bp8_pp8_T16	TIE	229982	229322	-660	-0.287	3.000		TIE	160366	160461	95	0.059	3.000		1	1	229981	229322	389810	388723	74000	73000
D8000000_K3_mb16_mp1_h1.0_bp8_pp8_T96	TIE	5046893	5114591	67698	1.341	3.000		TIE	7783281	7704749	-78532	-1.009	3.000		110	117	5046790	5114492	12847370	12834108	2659000	2784000
D8000000_K7_mb16_mp1_h1.0_bp8_pp8_T96	TIE	4579174	4554014	-25160	-0.549	3.000		TIE	6220591	6139377	-81214	-1.306	3.000		203	223	4578972	4553796	10820382	10751727	2694000	2762000
