unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
fixstr:probe.inner_all.S2.T96	TIE	6119610.0	6371992.0	252382.0	4.124	9.128		LOSS	2157536.5	2696170.5	538634.0	24.965	3.000		561.5	6744.0	6119041.0	6365105.5	8282937.5	9080395.0	299822.0	302090.0
fixstr:probe.inner_all.S3.T96	WIN	13220047.5	9809897.0	-3410150.5	-25.795	3.000		LOSS	2344060.5	3087969.0	743908.5	31.736	3.000		605.5	6857.5	13219455.5	9803153.5	15559850.0	12897431.0	391961.0	398533.0
fixstr:probe.inner_all.S5.T96	WIN	49348710.5	44062891.0	-5285819.5	-10.711	4.110		LOSS	9691084.5	12136805.0	2445720.5	25.237	3.000		3396.5	29852.0	49345264.0	44033162.0	59010902.5	56207168.0	2132790.5	2252024.5
k128:probe.inner_all.S2.T96	WIN	8284762.5	6918425.5	-1366337.0	-16.492	3.000		LOSS	2156227.5	2690004.5	533777.0	24.755	3.000		41.5	8209.0	8284715.5	6910010.0	10429929.5	9603086.0	420374.0	425639.0
k128:probe.inner_all.S3.T96	WIN	13461947.0	9988742.5	-3473204.5	-25.800	3.000		LOSS	2336357.5	3003660.0	667302.5	28.562	3.000		42.5	8276.0	13461913.0	9980541.0	15796204.0	12992169.0	504363.5	508780.0
k128:probe.inner_all.S5.T96	WIN	54468960.0	46526476.5	-7942483.5	-14.582	3.000		LOSS	9004431.5	11400377.0	2395945.5	26.609	3.000		222.5	35612.5	54468734.0	46490626.5	63472946.0	57939891.5	2493491.0	2684725.5
k256:build.inner_all.S2.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 41.1 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 41.1 ms < 200 ms)	0.0	8.0	2694.0	1758.5	3429.0	2800.5	40944.0	42080.5
k256:build.inner_all.S3.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 74.3 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 74.3 ms < 200 ms)	5.0	130.5	204875.0	149260.5	235491.5	184670.0	74251.5	74723.5
k256:build.inner_all.S5.T96	WIN	7246060.5	5915392.0	-1330668.5	-18.364	3.000		LOSS	545890.0	665391.0	119501.0	21.891	3.000		115.5	2315.5	7245936.0	5913111.0	7792602.5	6588446.5	898832.0	825581.5
k256:probe.inner_all.S1.T96	WIN	8195859.0	4200297.0	-3995562.0	-48.751	3.000		LOSS	2094368.0	2368665.0	274297.0	13.097	3.000		531.5	9312.5	8195312.0	4191064.5	10314157.0	6564775.0	554126.0	518196.5
