unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
fixstr:probe.inner_all.S2.T96	TIE	6876436.0	6231120.5	-645315.5	-9.384	9.612		LOSS	2182159.5	2703717.0	521557.5	23.901	3.000		558.0	6749.5	6875906.5	6223548.5	9072620.0	8935012.0	301656.5	303437.5
fixstr:probe.inner_all.S3.T96	WIN	13236225.5	9811426.0	-3424799.5	-25.874	3.000		LOSS	2337898.5	3093179.5	755281.0	32.306	3.000		600.5	6876.0	13235661.0	9804488.5	15575215.0	12899890.5	390992.5	399020.0
fixstr:probe.inner_all.S5.T96	WIN	49169596.5	42824989.0	-6344607.5	-12.904	3.743		LOSS	9753189.0	12257878.0	2504689.0	25.681	3.000		3287.5	29878.0	49166246.5	42795062.5	58927245.5	55041383.0	2126089.5	2242587.5
k128:probe.inner_all.S2.T96	WIN	8125321.0	6931227.5	-1194093.5	-14.696	3.000		LOSS	2163976.0	2693374.5	529398.5	24.464	3.000		40.5	8015.5	8125276.0	6923300.0	10297937.5	9620777.5	419763.0	425944.0
k128:probe.inner_all.S3.T96	WIN	13460816.5	9996243.0	-3464573.5	-25.738	3.000		LOSS	2335334.0	3000791.5	665457.5	28.495	3.000		52.0	8124.5	13460742.5	9988038.0	15799168.0	12985549.5	505305.5	507457.0
k128:probe.inner_all.S5.T96	WIN	54366961.5	49206187.5	-5160774.0	-9.492	3.000		LOSS	9026136.5	11329203.0	2303066.5	25.516	3.000		228.5	36190.5	54366720.0	49169819.0	63409855.5	60534825.0	2499241.5	2699103.0
k256:build.inner_all.S2.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 41.1 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 41.1 ms < 200 ms)	0.0	9.0	2744.0	1767.0	3428.5	2865.5	41008.0	42093.0
k256:build.inner_all.S3.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 74.6 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 74.6 ms < 200 ms)	6.0	126.5	203835.5	149060.5	234890.0	184597.0	74510.0	74819.0
k256:build.inner_all.S5.T96	WIN	7231766.5	6019212.0	-1212554.5	-16.767	3.000		LOSS	543880.5	664627.5	120747.0	22.201	3.018		124.0	2296.5	7231648.0	6016929.0	7776129.5	6683839.5	904668.0	789076.0
k256:probe.inner_all.S1.T96	WIN	8182383.5	4207651.5	-3974732.0	-48.577	3.000		LOSS	2091233.5	2358486.5	267253.0	12.780	3.000		551.0	9460.0	8181854.5	4198244.5	10265360.0	6567488.5	551875.0	524396.5
k256:probe.inner_all.S2.T1	WIN	73961.0	40082.0	-33879.0	-45.807	3.000		LOSS	18531.0	19311.0	780.0	4.209	3.000		0.0	75.0	73961.0	40005.5	92771.0	59397.5	450892.5	456571.5
k256:probe.inner_all.S2.T48	WIN	3885856.0	2030379.0	-1855477.0	-47.750	3.000		LOSS	949840.5	1001589.0	51748.5	5.448	3.000		24.5	3865.5	3885837.5	2026533.5	4834753.5	3033011.0	499427.0	463262.0
k256:probe.inner_all.S2.T96	WIN	14826108.5	6119320.0	-8706788.5	-58.726	3.000		LOSS	2144748.0	2733612.0	588864.0	27.456	3.000		340.0	9212.5	14825781.5	6109832.0	16968550.5	8854387.0	615730.0	548937.0
k256:probe.inner_all.S3.T96	WIN	22840915.0	8398863.0	-14442052.0	-63.229	3.000		LOSS	2140711.0	3060971.0	920260.0	42.989	3.000		355.0	10159.5	22840522.5	8388614.0	24981436.0	11455321.0	718139.5	601811.5
k256:probe.inner_all.S4.T1	WIN	20630093.5	12298456.0	-8331637.5	-40.386	3.000		TIE	1810451.0	1793973.0	-16478.0	-0.910	3.000		7.0	6831.5	20630088.0	12291136.0	22446007.5	14096930.0	58355401.0	55560893.0
k256:probe.inner_all.S4.T48	WIN	15007514.0	10456576.0	-4550938.0	-30.324	7.625		LOSS	1888170.5	1987482.0	99311.5	5.260	3.000		136.0	7420.0	15007378.0	10449178.5	16893052.5	12441932.5	1296175.5	1228469.0
k256:probe.inner_all.S4.T96	WIN	22727718.5	10511150.5	-12216568.0	-53.752	3.000		LOSS	2125839.0	2916464.5	790625.5	37.191	3.000		415.0	9334.5	22727306.0	10501931.0	24850613.0	13426485.0	817596.5	708962.5
