unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
coffeeshop__fact_sales_location_id__dim_locations_location_id__T16__tiera	WIN	5769574	4981944	-787630	-13.651	3.000		TIE	17918054	18043480	125426	0.700	3.000		396	61917	5769112	4920885	23684867	23018871	3633000	3635000
coffeeshop__fact_sales_location_id__dim_locations_location_id__T96__tiera	WIN	7067325	6304874	-762451	-10.788	3.000		TIE	20763779	20911107	147328	0.710	3.000		9311	101602	7058110	6203272	27830574	27219918	841000	853000
coffeeshop__fact_sales_product_id__dim_products_product_id__T16__tiera	TIE	6979961	7082968	103007	1.476	3.000		TIE	38923892	38681479	-242413	-0.623	3.000		395	75052	6979706	7008470	45907265	45740403	6675000	6728000
coffeeshop__fact_sales_product_id__dim_products_product_id__T96__tiera	LOSS	8216583	9370453	1153870	14.043	3.000		TIE	47247809	47057591	-190218	-0.403	3.000		11186	96757	8201010	9270801	55516272	56422484	1499000	1540000
coffeeshop__fact_sales_product_name__dim_products_name__T16__tiera	LOSS	8668900	10361566	1692666	19.526	3.000		TIE	28457852	28435595	-22257	-0.078	3.000		402	74833	8668546	10285221	37126752	38797217	5811000	5953000
coffeeshop__fact_sales_product_name__dim_products_name__T96__tiera	LOSS	10067310	13023928	2956618	29.369	3.000		TIE	34708157	34114426	-593731	-1.711	3.000		12775	101324	10054535	12917589	44807154	47100329	1333000	1375000
job__cast_info_movie_id__complete_cast_movie_id__T16__tiera	WIN	464808	387621	-77187	-16.606	3.000		TIE	556737	572114	15377	2.762	3.000		1	1948	464808	385673	1021639	959891	109000	114000
job__cast_info_movie_id__complete_cast_movie_id__T96__tiera	WIN	511386	442186	-69200	-13.532	3.000		LOSS	767588	815280	47692	6.213	3.000		38	2370	511345	439744	1282025	1254908	46000	47000
job__cast_info_movie_id__movie_companies_movie_id__T16__tiera	WIN	489146	467358	-21788	-4.454	3.000		LOSS	6992402	8463970	1471568	21.045	3.000		1	2398	489145	464960	7480792	8934465	638000	753000
job__cast_info_movie_id__movie_companies_movie_id__T96__tiera	WIN	771384	692628	-78756	-10.210	3.000		LOSS	10059169	10441798	382629	3.804	3.000		64	2639	771319	689989	10832024	11134426	189000	192000
job__cast_info_movie_id__movie_info_idx_movie_id__T16__tiera	WIN	579102	445546	-133556	-23.063	3.000		LOSS	2868817	3275057	406240	14.161	3.000		12	2010	579088	443466	3448357	3718960	306000	332000
job__cast_info_movie_id__movie_info_idx_movie_id__T96__tiera	WIN	689572	551280	-138292	-20.055	3.000		LOSS	3324486	3604227	279741	8.415	3.000		69	2566	689489	548740	4020072	4155986	88000	90000
job__cast_info_movie_id__movie_info_movie_id__T16__tiera	WIN	752407	641912	-110495	-14.686	3.000		LOSS	56676217	65503921	8827704	15.576	3.000		10	3699	752395	638237	57430371	66149251	4662000	5330000
job__cast_info_movie_id__movie_info_movie_id__T96__tiera	LOSS	1540871	1798205	257334	16.701	5.684		LOSS	88359483	91197910	2838427	3.212	3.000		136	4732	1540768	1793518	89959414	92941012	1399000	1377000
