probe_ab_report: 1 file(s), 8112 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier a: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 368   win=161 tie=51 loss=156   no-verdict=8
  aggregate 230,541.8 ms -> 210,259.1 ms (-8.8%)
  median per-cell delta +0.4%
  LOSSES on probe_cost: 156
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__customer_c_customer_sk__catalog_returns_cr_returning_customer_sk__T96__tiera       20.9       65.0  +211.7%   5.0%               0.0->0.1             20.9->65.0             487.8->530.1
    job__movie_keyword_movie_id__title_id__filtered__T96__tiera       37.2       95.4  +156.8%  17.3%               0.0->0.2             37.2->95.2              67.5->126.8
    tpcds__customer_c_customer_sk__catalog_returns_cr_returning_customer_sk__T16__tiera        7.5       17.3  +129.6%  19.8%               0.0->0.1              7.5->17.2             392.8->440.6
    stackoverflow__postlinks_RelatedPostId__posts_Id__T96__tiera      764.1    1,741.7  +128.0%  19.4%               0.0->0.3         764.1->1,741.5         1,572.4->2,715.6
    job__movie_keyword_movie_id__title_id__T96__tiera       66.0      135.4  +105.2%   9.4%               0.0->0.2            66.0->135.2             178.5->250.5
    job__movie_keyword_movie_id__movie_companies_movie_id__T96__tiera       70.6      137.3   +94.5%   8.8%               0.0->0.2            70.6->137.0           943.8->1,056.7
    stackoverflow__postlinks_RelatedPostId__posts_Id__T16__tiera      147.2      281.5   +91.3%   3.1%               0.0->0.2           147.2->281.3           673.9->1,110.6
    job__movie_companies_movie_id__title_id__T96__tiera       79.7      133.0   +66.8%   6.4%               0.0->0.2            79.7->132.8             166.4->225.2
    job__name_id__person_info_person_id__T96__tiera      285.7      476.3   +66.7%   5.3%               0.0->0.5           285.7->475.9             790.2->995.4
    job__movie_info_idx_info_type_id__info_type_id__filtered__T16__tiera        2.1        3.2   +52.6%   3.0%               0.0->0.0               2.1->3.2                 2.4->3.5
    job__movie_info_info_type_id__info_type_id__filtered__T16__tiera       25.3       38.4   +51.7%   3.0%               0.0->0.8             25.3->37.6               31.7->45.7
    tpcds__catalog_sales_cs_item_sk__store_returns_sr_item_sk__T96__tiera      553.0      820.3   +48.3%   4.7%               0.6->6.8           552.5->813.4     141,121.3->140,804.7
    job__movie_keyword_movie_id__movie_link_movie_id__T16__tiera       11.6       17.2   +48.2%   3.7%               0.0->0.1             11.6->17.1               26.0->31.4
    job__movie_info_idx_info_type_id__info_type_id__filtered__T96__tiera        2.5        3.6   +47.5%   3.0%               0.0->0.1               2.5->3.5                 2.9->4.0
    job__complete_cast_subject_id__comp_cast_type_id__T16__tiera        0.8        1.2   +46.5%  20.5%               0.0->0.0               0.8->1.2                 2.7->3.6
    job__name_id__person_info_person_id__T16__tiera       61.6       89.7   +45.7%   5.7%               0.0->0.5             61.6->89.3             311.7->402.5
    job__movie_info_info_type_id__info_type_id__filtered__T96__tiera       26.8       38.9   +45.4%   3.0%               0.0->1.0             26.8->37.9               34.2->46.2
    tpcds__customer_address_ca_state__store_s_state__T16__tiera        1.0        1.5   +45.3%   8.5%               0.0->0.0               1.0->1.5               13.4->18.4
    tpcds__customer_c_current_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera        7.9       11.0   +39.1%  10.7%               0.0->0.1              7.9->11.0               52.7->59.6
    stackoverflow__comments_PostId__posts_Id__T96__tiera    3,376.8    4,637.6   +37.3%   5.1%               0.0->3.1       3,376.8->4,634.4         5,189.3->6,790.1
    job__person_info_info_type_id__info_type_id__filtered__T96__tiera        6.7        9.3   +37.3%   3.0%               0.0->0.4               6.7->8.8                9.7->12.3
    job__movie_info_idx_movie_id__movie_link_movie_id__T16__tiera        5.4        7.4   +36.2%   4.0%               0.0->0.1               5.4->7.3               12.8->14.8
    tpcds__inventory_inv_date_sk__date_dim_d_date_sk__filtered__T16__tiera       74.2      100.9   +35.9%   3.0%               0.0->1.0             74.2->99.8             159.5->187.0
    tpcds__customer_address_ca_county__store_s_county__filtered__T16__tiera        1.3        1.8   +35.1%   9.4%               0.0->0.0               1.3->1.8                 3.2->3.9
    job__person_info_info_type_id__info_type_id__filtered__T16__tiera        6.1        8.2   +34.0%   3.0%               0.0->0.1               6.1->8.1                8.3->10.8
    job__movie_keyword_keyword_id__keyword_id__filtered__T16__tiera       10.7       14.4   +34.0%   3.0%               0.0->0.1             10.7->14.3               12.4->16.2
    tpcds__customer_address_ca_state__store_s_state__filtered__T16__tiera        0.9        1.2   +32.7%   7.2%               0.0->0.0               0.9->1.2                7.6->11.2
    job__movie_info_movie_id__movie_link_movie_id__T96__tiera       65.9       86.5   +31.3%   3.0%               0.0->1.0             65.9->85.6             169.0->185.4
    tpcds__store_sales_ss_item_sk__web_sales_ws_item_sk__T96__tiera    1,118.7    1,467.5   +31.2%   3.0%              1.9->18.4       1,116.7->1,449.1     693,559.7->690,989.0
    job__movie_companies_movie_id__title_id__filtered__T96__tiera       41.4       53.8   +29.9%  19.9%               0.0->0.2             41.4->53.6               70.0->92.9
    job__movie_companies_movie_id__movie_link_movie_id__T16__tiera       10.7       13.9   +29.7%   3.0%               0.0->0.1             10.7->13.8               25.3->28.6
    coffeeshop__fact_sales_product_name__dim_products_name__T96__tiera   10,067.3   13,023.9   +29.4%   3.0%            12.8->101.3     10,054.5->12,917.6       44,807.2->47,100.3
    job__movie_info_movie_id__movie_link_movie_id__T16__tiera       68.4       88.2   +29.0%   3.0%               0.0->1.1             68.4->87.1             160.2->179.3
    tpcds__household_demographics_hd_income_band_sk__income_band_ib_income_band_sk__T96__tiera        0.1        0.1   +27.9%  13.9%               0.0->0.0               0.1->0.1                 0.2->0.2
    job__movie_companies_company_type_id__company_type_id__filtered__T16__tiera        8.8       11.3   +27.9%   3.6%               0.0->0.1              8.8->11.2               25.6->31.1
    job__movie_keyword_keyword_id__keyword_id__filtered__T96__tiera       13.7       17.4   +27.4%   3.0%               0.0->0.2             13.7->17.2               16.4->19.9
    tpcds__catalog_sales_cs_sold_date_sk__date_dim_d_date_sk__filtered__T16__tiera      140.8      179.4   +27.4%   3.0%               0.0->1.8           140.8->177.6             310.6->356.7
    job__title_id__movie_link_movie_id__T16__tiera       10.7       13.7   +27.4%   3.0%               0.0->0.1             10.7->13.6               24.1->27.3
    job__movie_companies_movie_id__movie_link_movie_id__T96__tiera       12.8       16.2   +26.5%   3.0%               0.0->0.2             12.8->16.0               28.8->31.6
    job__title_id__movie_link_movie_id__T96__tiera       12.3       15.5   +26.2%   3.0%               0.0->0.2             12.3->15.3               26.8->29.7
