unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
coffeeshop__fact_sales_location_id__dim_locations_location_id__T16__tierb	WIN	11385195	9801883	-1583312	-13.907	3.000		TIE	35790932	36007632	216700	0.605	3.000		717	112921	11384350	9692135	47176977	45814597	7244000	7212000
coffeeshop__fact_sales_location_id__dim_locations_location_id__T96__tierb	WIN	13850217	12417222	-1432995	-10.346	3.000		TIE	41363162	41587035	223873	0.541	3.000		18944	200959	13832260	12214959	55181814	54016239	1650000	1666000
coffeeshop__fact_sales_product_id__dim_products_product_id__T16__tierb	TIE	13976550	14098952	122402	0.876	3.000		TIE	78476526	77612493	-864033	-1.101	3.000		833	139998	13975836	13956571	92457189	91719487	13398000	13444000
coffeeshop__fact_sales_product_id__dim_products_product_id__T96__tierb	LOSS	16372150	18670260	2298110	14.037	3.000		TIE	96296399	95775130	-521269	-0.541	3.000		23914	192314	16349036	18481915	112580553	114442859	3008000	3087000
coffeeshop__fact_sales_product_name__dim_products_name__T16__tierb	LOSS	17336914	20739695	3402781	19.627	3.000		TIE	57118014	56680441	-437573	-0.766	3.000		764	134012	17336236	20603809	74448318	77401857	11613000	11846000
coffeeshop__fact_sales_product_name__dim_products_name__T96__tierb	LOSS	20071415	25822941	5751526	28.655	3.000		TIE	69282852	67703914	-1578938	-2.279	3.000		25818	204805	20043777	25619505	89302914	93515531	2628000	2704000
job__cast_info_movie_id__complete_cast_movie_id__T16__tierb	WIN	463746	387146	-76600	-16.518	3.000		TIE	555433	571646	16213	2.919	3.000		12	1834	463744	385237	1019800	958110	108000	112000
job__cast_info_movie_id__complete_cast_movie_id__T96__tierb	WIN	511337	443020	-68317	-13.360	3.000		LOSS	771756	813044	41288	5.350	3.000		42	2388	511297	440677	1284810	1252072	45000	47000
job__cast_info_movie_id__movie_companies_movie_id__T16__tierb	WIN	485773	469437	-16336	-3.363	3.000		LOSS	6980156	8487666	1507510	21.597	3.000		11	2377	485773	467109	7466108	8956991	634000	754000
job__cast_info_movie_id__movie_companies_movie_id__T96__tierb	WIN	774581	709750	-64831	-8.370	3.000		LOSS	10050427	10445542	395115	3.931	3.000		56	2633	774530	707175	10823093	11143479	190000	191000
job__cast_info_movie_id__movie_info_idx_movie_id__T16__tierb	WIN	581810	446267	-135543	-23.297	3.000		LOSS	2862180	3298042	435862	15.228	3.000		11	1962	581798	444249	3444987	3744309	304000	335000
job__cast_info_movie_id__movie_info_idx_movie_id__T96__tierb	WIN	687918	552230	-135688	-19.724	3.000		LOSS	3314840	3601728	286888	8.655	3.000		92	2474	687769	549707	3997151	4150892	86000	89000
job__cast_info_movie_id__movie_info_movie_id__T16__tierb	WIN	755604	648256	-107348	-14.207	3.000		LOSS	56830202	65732841	8902639	15.665	3.000		2	3687	755603	644477	57580779	66381797	4677000	5340000
job__cast_info_movie_id__movie_info_movie_id__T96__tierb	LOSS	1529835	1812405	282570	18.471	4.566		TIE	88354065	90564066	2210001	2.501	3.000		124	4684	1529711	1807718	89865460	92366706	1399000	1357000
job__cast_info_movie_id__movie_keyword_movie_id__T16__tierb	WIN	631114	481233	-149881	-23.749	3.000		LOSS	3195721	3573633	377912	11.826	3.000		1	2383	631114	478847	3825664	4057553	480000	510000
job__cast_info_movie_id__movie_keyword_movie_id__T96__tierb	WIN	913824	645037	-268787	-29.413	3.000		LOSS	5035229	5268538	233309	4.634	3.000		115	2679	913726	642353	5945187	5907488	149000	147000
job__cast_info_movie_id__movie_link_linked_movie_id__T16__tierb	LOSS	303131	359619	56488	18.635	3.000		TIE	366347	370807	4460	1.217	3.000		17	1532	303111	358075	669647	729861	80000	90000
job__cast_info_movie_id__movie_link_linked_movie_id__T96__tierb	LOSS	345422	397500	52078	15.077	3.000		TIE	521861	510195	-11666	-2.235	3.000		53	2169	345343	395253	871300	905871	39000	40000
job__cast_info_movie_id__title_id__T16__tierb	WIN	477747	440743	-37004	-7.746	3.000		LOSS	2657902	3405594	747692	28.131	3.000		0	2065	477747	438748	3135595	3844932	292000	355000
job__cast_info_movie_id__title_id__T96__tierb	WIN	856918	686993	-169925	-19.830	4.071		LOSS	4223223	4437232	214009	5.067	3.000		72	2443	856849	684572	5076306	5108167	111000	108000
job__cast_info_movie_id__title_id__filtered__T16__tierb	WIN	476109	407602	-68507	-14.389	3.000		LOSS	786793	984336	197543	25.107	3.000		1	1785	476108	405731	1262757	1391442	140000	162000
job__cast_info_movie_id__title_id__filtered__T96__tierb	WIN	679145	576916	-102229	-15.053	3.550		LOSS	1361942	1493827	131885	9.684	3.000		37	2343	679110	574522	2031293	2070482	72000	72000
job__cast_info_person_id__aka_name_person_id__T16__tierb	WIN	255113	247012	-8101	-3.175	3.000		LOSS	848297	923579	75282	8.874	3.000		16	1967	255093	245150	1103285	1170591	146000	161000
job__cast_info_person_id__aka_name_person_id__T96__tierb	LOSS	423571	441982	18411	4.347	3.000		LOSS	1435873	1497305	61432	4.278	3.000		128	2485	423425	439504	1859444	1937480	61000	62000
job__cast_info_person_id__name_id__T16__tierb	WIN	300878	252870	-48008	-15.956	3.000		LOSS	981544	1144467	162923	16.599	3.000		0	1839	300878	251164	1282915	1397827	182000	226000
job__cast_info_person_id__name_id__T96__tierb	LOSS	565309	610753	45444	8.039	3.492		LOSS	1581026	1738664	157638	9.971	3.000		66	2259	565143	608514	2146389	2344005	104000	94000
job__cast_info_person_id__person_info_person_id__T16__tierb	TIE	309232	316864	7632	2.468	3.000		TIE	7890816	7906726	15910	0.202	3.000		3	2848	309228	314171	8199111	8223590	1127000	1177000
job__cast_info_person_id__person_info_person_id__T96__tierb	LOSS	795513	974049	178536	22.443	3.000		TIE	21066608	20508359	-558249	-2.650	3.000		289	3963	795223	970011	21865453	21490003	505000	487000
job__cast_info_person_role_id__char_name_id__T16__tierb	WIN	229149	179891	-49258	-21.496	3.000		LOSS	651223	769060	117837	18.095	3.000		1	1718	229126	178155	880341	948951	116000	136000
