probe_ab_report: 1 file(s), 8052 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier b: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 365   win=164 tie=50 loss=151   no-verdict=11
  aggregate 493,179.2 ms -> 449,846.8 ms (-8.8%)
  median per-cell delta -0.4%
  LOSSES on probe_cost: 151
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    job__movie_keyword_movie_id__title_id__filtered__T96__tierb       38.5      100.2  +159.9%  18.1%               0.0->0.2             38.5->99.9              68.9->132.0
    tpcds__customer_c_customer_sk__catalog_returns_cr_returning_customer_sk__T96__tierb      173.0      422.1  +144.0%   5.3%               0.0->0.2           173.0->421.9         1,245.3->1,513.9
    tpcds__customer_c_customer_sk__catalog_returns_cr_returning_customer_sk__T16__tierb       16.5       37.6  +127.7%  20.2%               0.0->0.2             16.5->37.4             831.1->972.2
    job__movie_keyword_movie_id__title_id__T96__tierb       66.1      130.2   +96.9%  10.7%               0.0->0.2            66.1->130.0             181.1->245.1
    job__movie_keyword_movie_id__movie_companies_movie_id__T96__tierb       72.5      137.0   +88.8%  10.6%               0.0->0.2            72.5->136.7           958.1->1,051.9
    stackoverflow__postlinks_RelatedPostId__posts_Id__T96__tierb    1,974.0    3,641.0   +84.4%   7.4%               0.0->0.5       1,974.0->3,640.5         3,973.1->5,885.7
    job__movie_companies_movie_id__title_id__T96__tierb       78.8      141.5   +79.5%   7.3%               0.0->0.2            78.8->141.3             164.2->237.4
    job__name_id__person_info_person_id__T96__tierb      285.7      479.3   +67.8%   7.1%               0.0->0.5           285.7->478.8             787.9->997.9
    stackoverflow__postlinks_RelatedPostId__posts_Id__T16__tierb      401.5      635.0   +58.1%   3.0%               0.0->0.4           401.5->634.6         1,539.3->2,549.6
    job__movie_info_idx_info_type_id__info_type_id__filtered__T16__tierb        2.1        3.2   +52.0%   3.0%               0.0->0.1               2.1->3.2                 2.4->3.5
    job__complete_cast_status_id__comp_cast_type_id__T16__tierb        0.7        1.0   +51.3%  18.2%               0.0->0.0               0.7->1.0                 2.5->3.4
