q	run	sec	build_rows	rf_created	prealloc	sel_rows
q1	r1	0.161	76236	4	0	6517593
q1	r2	0.025	57797	3	0	6517593
q1	r3	0.024	57797	3	0	6517593
q1	r4	0.161	57797	3	0	6517593
q1	r5	0.024	57797	3	0	6517593
q1	r6	0.024	57797	3	0	6517593
q2	r1	0.218	4407181	4	0	6517593
q2	r2	0.02	88	4	57908	6517593
q2	r3	0.018	88	4	0	6517593
q2	r4	0.018	88	4	0	6517593
q2	r5	0.018	88	4	0	6517593
q2	r6	0.018	88	4	0	6517593
q3	r1	0.089	37657	3	0	6517593
q3	r2	0.023	37657	3	0	6517593
q3	r3	0.023	37657	3	0	6517593
q3	r4	0.023	37657	3	0	6517593
q3	r5	0.023	37657	3	0	6517593
q3	r6	0.023	37657	3	0	6517593
q4	r1	0.06	110	4	0	6517593
q4	r2	0.019	110	4	0	6517593
q4	r3	0.018	110	4	0	6517593
q4	r4	0.019	110	4	0	6517593
q4	r5	0.019	110	4	0	6517593
q4	r6	0.019	110	4	0	6517593
q5	r1	0.141	2847399	4	0	10030538
q5	r2	0.047	2799102	3	324528	10030538
q5	r3	0.045	2799102	3	324528	10030538
q5	r4	0.046	2799102	3	324528	10030538
q5	r5	0.045	2799102	3	324528	10030538
q5	r6	0.047	2799102	3	324528	10030538
q6	r1	0.118	2707380	3	234992	10030538
q6	r2	0.042	2707380	3	234992	10030538
q6	r3	0.042	2707380	3	234992	10030538
q6	r4	0.043	2707380	3	234992	10030538
q6	r5	0.045	2707380	3	234992	10030538
q6	r6	0.041	2707380	3	234992	10030538
q7	r1	0.112	2650972	3	234992	10030538
q7	r2	0.039	2650972	3	234992	10030538
q7	r3	0.038	2650972	3	234992	10030538
q7	r4	0.037	2650972	3	234992	10030538
q7	r5	0.038	2650972	3	234992	10030538
q7	r6	0.038	2650972	3	234992	10030538
q8	r1	0.141	3804768	3	234992	10030538
q8	r2	0.059	3804768	3	806688	10030538
q8	r3	0.059	3804768	3	806688	10030538
q8	r4	0.058	3804768	3	806688	10030538
q8	r5	0.058	3804768	3	806688	10030538
q8	r6	0.066	3804768	3	806688	10030538
q9	r1	0.534	4538404	2	0	22022132
q9	r2	0.134	4538404	2	134160	22022132
q9	r3	0.135	4538404	2	134160	22022132
q9	r4	0.133	4538404	2	134160	22022132
q9	r5	0.136	4538404	2	134160	22022132
q9	r6	0.132	4538404	2	134160	22022132
q10	r1	0.521	4537190	2	134160	22022132
q10	r2	0.136	4537190	2	134160	22022132
q10	r3	0.133	4537190	2	134160	22022132
q10	r4	0.133	4537190	2	134160	22022132
q10	r5	0.135	4537190	2	134160	22022132
q10	r6	0.135	4537190	2	134160	22022132
q11	r1	0.53	4542938	2	134160	22022132
q11	r2	0.138	4542938	2	134160	22022132
