q	run	sec	build_rows	rf_created	prealloc	sel_rows
q1	r1	0.302	76236	4	0	6517593
q1	r2	0.038	76236	4	0	6517593
q1	r3	0.035	76236	4	0	6517593
q1	r4	0.173	76236	4	0	6517593
q1	r5	0.034	76236	4	0	6517593
q1	r6	0.034	76236	4	0	6517593
q2	r1	0.217	4349811	4	0	6517593
q2	r2	0.15	4382694	4	0	6517593
q2	r3	0.151	4306134	4	0	6517593
q2	r4	0.146	4305956	4	0	6517593
q2	r5	0.136	4300655	4	0	6517593
q2	r6	0.133	4340685	4	0	6517593
q3	r1	0.092	37657	4	0	6517593
q3	r2	0.029	37657	4	0	6517593
q3	r3	0.029	37657	4	0	6517593
q3	r4	0.029	37657	4	0	6517593
q3	r5	0.029	37657	4	0	6517593
q3	r6	0.029	37657	4	0	6517593
q4	r1	0.203	4616169	4	0	6517593
q4	r2	0.135	4612687	4	0	6517593
q4	r3	0.147	4613534	4	0	6517593
q4	r4	0.143	4613953	4	0	6517593
q4	r5	0.127	4613606	4	0	6517593
q4	r6	0.143	4612755	4	0	6517593
q5	r1	0.137	2847399	4	0	10030538
q5	r2	0.06	2847399	4	0	10030538
q5	r3	0.062	2847399	4	0	10030538
q5	r4	0.06	2847399	4	0	10030538
q5	r5	0.062	2847399	4	0	10030538
q5	r6	0.061	2847399	4	0	10030538
q6	r1	0.128	2699014	4	0	10030538
q6	r2	0.057	2699014	4	0	10030538
q6	r3	0.057	2699014	4	0	10030538
q6	r4	0.058	2699014	4	0	10030538
q6	r5	0.056	2699014	4	0	10030538
q6	r6	0.059	2699014	4	0	10030538
q7	r1	0.085	2609134	4	0	10030538
q7	r2	0.036	2609134	4	0	10030538
q7	r3	0.036	2609134	4	0	10030538
q7	r4	0.034	2609134	4	0	10030538
q7	r5	0.034	2609134	4	0	10030538
q7	r6	0.035	2609134	4	0	10030538
q8	r1	0.149	4408821	4	0	10030538
q8	r2	0.075	4408821	4	0	10030538
q8	r3	0.081	4408821	4	0	10030538
q8	r4	0.079	4408821	4	0	10030538
q8	r5	0.078	4408821	4	0	10030538
q8	r6	0.075	4408821	4	0	10030538
q9	r1	0.534	4538404	2	0	22022132
q9	r2	0.132	4538404	2	0	22022132
q9	r3	0.141	4538404	2	0	22022132
q9	r4	0.135	4538404	2	0	22022132
q9	r5	0.137	4538404	2	0	22022132
q9	r6	0.133	4538404	2	0	22022132
q10	r1	0.517	4537190	2	0	22022132
q10	r2	0.133	4537190	2	0	22022132
q10	r3	0.135	4537190	2	0	22022132
q10	r4	0.132	4537190	2	0	22022132
q10	r5	0.14	4537190	2	0	22022132
q10	r6	0.134	4537190	2	0	22022132
q11	r1	0.522	4542938	2	0	22022132
q11	r2	0.145	4542938	2	0	22022132
q11	r3	0.138	4542938	2	0	22022132
q11	r4	0.149	4542938	2	0	22022132
q11	r5	0.141	4542938	2	0	22022132
q11	r6	0.139	4542938	2	0	22022132
q12	r1	0.151	986746	4	0	8566560
q12	r2	0.064	986746	4	0	8566560
q12	r3	0.067	986746	4	0	8566560
q12	r4	0.064	986746	4	0	8566560
q12	r5	0.064	986746	4	0	8566560
q12	r6	0.066	986746	4	0	8566560
q13	r1	0.108	8729	4	0	8566560
q13	r2	0.028	8729	4	0	8566560
q13	r3	0.028	8729	4	0	8566560
q13	r4	0.028	8729	4	0	8566560
q13	r5	0.028	8729	4	0	8566560
q13	r6	0.029	8729	4	0	8566560
q14	r1	0.163	1579869	4	0	8566560
q14	r2	0.078	1579869	4	0	8566560
q14	r3	0.081	1579869	4	0	8566560
q14	r4	0.078	1579869	4	0	8566560
q14	r5	0.077	1579869	4	0	8566560
q14	r6	0.079	1579869	4	0	8566560
q15	r1	0.046	24025	3	0	2609133
q15	r2	0.022	24025	3	0	2609133
q15	r3	0.022	24025	3	0	2609133
q15	r4	0.022	24025	3	0	2609133
q15	r5	0.022	24025	3	0	2609133
q15	r6	0.022	24025	3	0	2609133
q16	r1	0.07	1418	3	0	2609133
q16	r2	0.02	1418	3	0	2609133
q16	r3	0.02	1418	3	0	2609133
q16	r4	0.02	1418	3	0	2609133
q16	r5	0.02	1418	3	0	2609133
q16	r6	0.02	1418	3	0	2609133
q17	r1	0.504	297291	3	0	19973278
q17	r2	0.128	297291	3	0	19973278
q17	r3	0.126	297291	3	0	19973278
q17	r4	0.127	297291	3	0	19973278
q17	r5	0.127	297291	3	0	19973278
q17	r6	0.125	297291	3	0	19973278
q18	r1	0.153	391680	4	0	47598247
q18	r2	0.049	391680	4	0	47598247
q18	r3	0.049	391680	4	0	47598247
q18	r4	0.049	391680	4	0	47598247
q18	r5	0.051	391680	4	0	47598247
q18	r6	0.049	391680	4	0	47598247
q19	r1	0.139	484	4	0	47598247
q19	r2	0.042	484	4	0	47598247
q19	r3	0.042	484	4	0	47598247
q19	r4	0.042	484	4	0	47598247
q19	r5	0.042	484	4	0	47598247
q19	r6	0.042	484	4	0	47598247
q20	r1	0.141	443	4	0	47598247
q20	r2	0.04	443	4	0	47598247
q20	r3	0.04	443	4	0	47598247
q20	r4	0.04	443	4	0	47598247
q20	r5	0.041	443	4	0	47598247
q20	r6	0.04	443	4	0	47598247
q21	r1	0.154	1395628	4	0	47598247
q21	r2	0.054	1395628	4	0	47598247
q21	r3	0.052	1395628	4	0	47598247
q21	r4	0.054	1395628	4	0	47598247
q21	r5	0.052	1395628	4	0	47598247
q21	r6	0.052	1395628	4	0	47598247
q22	r1	0.148	1381467	4	0	47598247
q22	r2	0.049	1381467	4	0	47598247
q22	r3	0.049	1381467	4	0	47598247
q22	r4	0.049	1381467	4	0	47598247
q22	r5	0.05	1381467	4	0	47598247
q22	r6	0.048	1381467	4	0	47598247
q23	r1	0.569	41793296	4	0	47598247
q23	r2	0.409	41793296	4	0	47598247
q23	r3	0.394	41793296	4	0	47598247
q23	r4	0.413	41793296	4	0	47598247
q23	r5	0.401	41793296	4	0	47598247
q23	r6	0.388	41793296	4	0	47598247
q24	r1	0.46	37218260	7	0	46835282
q24	r2	0.288	37218260	7	0	46835282
q24	r3	0.28	37218260	7	0	46835282
q24	r4	0.27	37218260	7	0	46835282
q24	r5	0.311	37218260	7	0	46835282
q24	r6	0.286	37218260	7	0	46835282
q25	r1	0.402	36428979	7	0	46835282
q25	r2	0.277	36428979	7	0	46835282
q25	r3	0.267	36428979	7	0	46835282
q25	r4	0.26	36428979	7	0	46835282
q25	r5	0.254	36428979	7	0	46835282
q25	r6	0.273	36428979	7	0	46835282
q26	r1	0.829	38409456	7	0	46835282
q26	r2	0.636	38409456	7	0	46835282
