q	run	sec	build_rows	rf_created	prealloc	sel_rows
q1	r1	0.335	76236	4	0	6517593
q1	r2	0.032	76236	4	37360	6517593
q1	r3	0.032	76236	4	37360	6517593
q1	r4	0.165	76236	4	37360	6517593
q1	r5	0.031	76236	4	37360	6517593
q1	r6	0.031	76236	4	37360	6517593
q2	r1	0.214	4305396	4	0	6517593
q2	r2	0.131	4334708	4	1308928	6517593
q2	r3	0.114	4304195	4	1338240	6517593
q2	r4	0.115	4302813	4	1338240	6517593
q2	r5	0.118	4306771	4	1338240	6517593
q2	r6	0.118	4298047	4	1338240	6517593
q3	r1	0.094	37657	4	0	6517593
q3	r2	0.026	37657	4	11344	6517593
q3	r3	0.026	37657	4	11344	6517593
q3	r4	0.026	37657	4	11344	6517593
q3	r5	0.026	37657	4	11344	6517593
q3	r6	0.026	37657	4	11344	6517593
q4	r1	0.167	4519050	4	947456	6517593
q4	r2	0.111	4605193	4	1522592	6517593
q4	r3	0.111	4609699	4	1608736	6517593
q4	r4	0.12	4608128	4	1613232	6517593
q4	r5	0.124	4612534	4	1613232	6517593
q4	r6	0.111	4607000	4	1616080	6517593
q5	r1	0.132	2847399	4	18688	10030538
q5	r2	0.055	2847399	4	414656	10030538
q5	r3	0.055	2847399	4	414656	10030538
q5	r4	0.054	2847399	4	414656	10030538
q5	r5	0.055	2847399	4	414656	10030538
q5	r6	0.058	2847399	4	414656	10030538
q6	r1	0.123	2699014	4	325120	10030538
q6	r2	0.051	2699014	4	301904	10030538
q6	r3	0.051	2699014	4	301904	10030538
q6	r4	0.051	2699014	4	301904	10030538
q6	r5	0.052	2699014	4	301904	10030538
q6	r6	0.051	2699014	4	301904	10030538
q7	r1	0.084	2609134	4	239176	10030538
q7	r2	0.031	2609134	4	234992	10030538
q7	r3	0.03	2609134	4	234992	10030538
q7	r4	0.03	2609134	4	234992	10030538
q7	r5	0.031	2609134	4	234992	10030538
q7	r6	0.03	2609134	4	234992	10030538
q8	r1	0.151	4408821	4	234992	10030538
q8	r2	0.068	4408821	4	1452576	10030538
q8	r3	0.069	4408821	4	1452576	10030538
q8	r4	0.067	4408821	4	1452576	10030538
q8	r5	0.069	4408821	4	1452576	10030538
q8	r6	0.071	4408821	4	1452576	10030538
q9	r1	0.522	4538404	2	0	22022132
q9	r2	0.13	4538404	2	146432	22022132
q9	r3	0.129	4538404	2	146432	22022132
q9	r4	0.131	4538404	2	146432	22022132
q9	r5	0.133	4538404	2	146432	22022132
q9	r6	0.134	4538404	2	146432	22022132
q10	r1	0.514	4537190	2	144912	22022132
q10	r2	0.126	4537190	2	145216	22022132
q10	r3	0.131	4537190	2	145216	22022132
q10	r4	0.131	4537190	2	145216	22022132
q10	r5	0.128	4537190	2	145216	22022132
q10	r6	0.128	4537190	2	145216	22022132
q11	r1	0.523	4542938	2	144912	22022132
q11	r2	0.134	4542938	2	150960	22022132
q11	r3	0.132	4542938	2	150960	22022132
q11	r4	0.134	4542938	2	150960	22022132
q11	r5	0.132	4542938	2	150960	22022132
q11	r6	0.135	4542938	2	150960	22022132
q12	r1	0.148	986746	4	0	8566560
q12	r2	0.06	986746	4	469020	8566560
q12	r3	0.06	986746	4	469020	8566560
q12	r4	0.06	986746	4	469020	8566560
q12	r5	0.059	986746	4	469020	8566560
q12	r6	0.059	986746	4	469020	8566560
q13	r1	0.104	8729	4	12	8566560
q13	r2	0.025	8729	4	380	8566560
q13	r3	0.025	8729	4	380	8566560
q13	r4	0.025	8729	4	380	8566560
q13	r5	0.026	8729	4	380	8566560
q13	r6	0.025	8729	4	380	8566560
q14	r1	0.16	1579869	4	12	8566560
q14	r2	0.075	1579869	4	773468	8566560
q14	r3	0.072	1579869	4	773468	8566560
q14	r4	0.072	1579869	4	773468	8566560
q14	r5	0.071	1579869	4	773468	8566560
q14	r6	0.074	1579869	4	773468	8566560
q15	r1	0.043	24025	3	0	2609133
q15	r2	0.02	24025	3	0	2609133
q15	r3	0.02	24025	3	0	2609133
q15	r4	0.02	24025	3	0	2609133
q15	r5	0.02	24025	3	0	2609133
q15	r6	0.02	24025	3	0	2609133
q16	r1	0.042	1418	3	0	2609133
q16	r2	0.019	1418	3	0	2609133
q16	r3	0.02	1418	3	0	2609133
q16	r4	0.019	1418	3	0	2609133
q16	r5	0.019	1418	3	0	2609133
q16	r6	0.018	1418	3	0	2609133
q17	r1	0.497	297291	3	324496	19973278
q17	r2	0.125	297291	3	1632	19973278
q17	r3	0.125	297291	3	1632	19973278
q17	r4	0.123	297291	3	1632	19973278
q17	r5	0.121	297291	3	1632	19973278
q17	r6	0.122	297291	3	1632	19973278
q18	r1	0.148	391680	4	64	47598247
q18	r2	0.046	391680	4	391664	47598247
q18	r3	0.049	391680	4	391664	47598247
q18	r4	0.045	391680	4	391664	47598247
q18	r5	0.046	391680	4	391664	47598247
q18	r6	0.046	391680	4	391664	47598247
q19	r1	0.14	484	4	0	47598247
q19	r2	0.04	484	4	444	47598247
q19	r3	0.039	484	4	444	47598247
q19	r4	0.039	484	4	444	47598247
q19	r5	0.039	484	4	444	47598247
q19	r6	0.039	484	4	444	47598247
q20	r1	0.136	443	4	432	47598247
q20	r2	0.038	443	4	432	47598247
q20	r3	0.037	443	4	432	47598247
q20	r4	0.038	443	4	432	47598247
q20	r5	0.038	443	4	432	47598247
q20	r6	0.04	443	4	432	47598247
q21	r1	0.152	1395628	4	0	47598247
q21	r2	0.056	1395628	4	1393280	47598247
q21	r3	0.053	1395628	4	1393280	47598247
q21	r4	0.053	1395628	4	1393280	47598247
q21	r5	0.053	1395628	4	1393280	47598247
q21	r6	0.055	1395628	4	1393280	47598247
q22	r1	0.148	1381467	4	1381440	47598247
q22	r2	0.05	1381467	4	1381440	47598247
q22	r3	0.051	1381467	4	1381440	47598247
q22	r4	0.05	1381467	4	1381440	47598247
q22	r5	0.05	1381467	4	1381440	47598247
q22	r6	0.051	1381467	4	1381440	47598247
q23	r1	0.666	41793296	4	1381440	47598247
q23	r2	0.508	41784620	4	7880528	47598247
q23	r3	0.499	41784620	4	7880528	47598247
q23	r4	0.496	41784620	4	7880528	47598247
q23	r5	0.519	41784620	4	7880528	47598247
q23	r6	0.497	41784620	4	7880528	47598247
q24	r1	0.437	37218260	7	0	46835282
q24	r2	0.319	37216368	7	34273648	46835282
q24	r3	0.312	37216096	7	34273648	46835282
q24	r4	0.328	37216096	7	34273648	46835282
q24	r5	0.312	37216096	7	34273648	46835282
q24	r6	0.326	37216096	7	34273648	46835282
q25	r1	0.44	36428799	7	33330512	46835282
q25	r2	0.304	36428768	7	33508816	46835282
q25	r3	0.304	36428783	7	33508816	46835282
q25	r4	0.302	36428783	7	33508816	46835282
q25	r5	0.288	36428768	7	33508816	46835282
q25	r6	0.31	36428739	7	33508816	46835282
q26	r1	0.872	38385209	7	33330512	46835282
q26	r2	0.701	38381051	7	35427920	46835282
q26	r3	0.682	38381051	7	35427920	46835282
q26	r4	0.734	38381051	7	35427920	46835282
q26	r5	0.697	38381051	7	35427920	46835282
q26	r6	0.689	38381051	7	35427920	46835282
q27	r1	0.209	2608335	5	0	46685628
q27	r2	0.083	2608335	5	2594736	46685628
q27	r3	0.079	2608335	5	2594736	46685628
q27	r4	0.078	2608335	5	2594736	46685628
q27	r5	0.083	2608335	5	2594736	46685628
q27	r6	0.074	2608335	5	2594736	46685628
q28	r1	0.192	31706	5	30400	46685628
q28	r2	0.07	31706	5	30400	46685628
q28	r3	0.075	31706	5	30400	46685628
q28	r4	0.071	31706	5	30400	46685628
q28	r5	0.071	31706	5	30400	46685628
q28	r6	0.065	31706	5	30400	46685628
q29	r1	0.329	16799639	6	2528304	46685628
q29	r2	0.228	17011474	6	9131392	46685628
q29	r3	0.166	13943753	6	9147440	46685628
q29	r4	0.189	15762867	6	9147440	46685628
q29	r5	0.2	16186088	6	9147440	46685628
q29	r6	0.184	15734437	6	9147440	46685628
q30	r1	0.156	6452530	6	9147440	46685628
q30	r2	0.081	6792461	6	5946432	46685628
q30	r3	0.092	8124013	6	6142432	46685628
q30	r4	0.091	8170783	6	6884720	46685628
q30	r5	0.088	8132368	6	6896880	46685628
q30	r6	0.089	8255652	6	6896880	46685628
q31	r1	0.269	4562390	6	0	49825967
q31	r2	0.106	4541359	6	4516096	49825967
q31	r3	0.108	4544771	6	4516096	49825967
q31	r4	0.121	4542584	6	4516096	49825967
q31	r5	0.107	4542330	6	4516096	49825967
q31	r6	0.106	4541576	6	4516096	49825967
q32	r1	0.261	3798851	6	3140336	49825967
q32	r2	0.096	3797251	6	3790256	49825967
q32	r3	0.096	3797251	6	3790256	49825967
q32	r4	0.096	3797438	6	3790256	49825967
q32	r5	0.095	3797438	6	3790256	49825967
q32	r6	0.095	3797251	6	3790256	49825967
q33	r1	0.264	5817324	7	3225168	49825967
q33	r2	0.104	5817324	7	5812848	49825967
q33	r3	0.105	5817324	7	5812848	49825967
q33	r4	0.106	5817324	7	5812848	49825967
q33	r5	0.107	5817324	7	5812848	49825967
q33	r6	0.103	5817324	7	5812848	49825967
q34	r1	0.311	7442678	7	5756272	49825967
q34	r2	0.142	7492090	7	6964368	49825967
q34	r3	0.14	7547674	7	6968224	49825967
q34	r4	0.125	7462821	7	6980976	49825967
q34	r5	0.128	7512310	7	6980976	49825967
q34	r6	0.131	7510071	7	6980976	49825967
q35	r1	0.249	3153495	6	0	44757137
q35	r2	0.083	3153495	6	3150720	44757137
q35	r3	0.081	3153495	6	3150720	44757137
q35	r4	0.081	3153495	6	3150720	44757137
q35	r5	0.082	3153495	6	3150720	44757137
q35	r6	0.081	3153495	6	3150720	44757137
q36	r1	0.138	3140357	6	3140336	41913011
q36	r2	0.058	3140357	6	3140336	41913011
q36	r3	0.054	3140357	6	3140336	41913011
q36	r4	0.054	3140357	6	3140336	41913011
q36	r5	0.054	3140357	6	3140336	41913011
q36	r6	0.057	3140358	6	3140336	41913011
q37	r1	0.18	3225225	6	3225168	44757137
q37	r2	0.069	3225225	6	3225168	44757137
q37	r3	0.069	3225225	6	3225168	44757137
q37	r4	0.07	3225225	6	3225168	44757137
q37	r5	0.074	3225225	6	3225168	44757137
q37	r6	0.07	3225225	6	3225168	44757137
q38	r1	0.007	0	0	0	0
q38	r2	0.005	0	0	0	0
q38	r3	0.005	0	0	0	0
q38	r4	0.005	0	0	0	0
q38	r5	0.005	0	0	0	0
q38	r6	0.005	0	0	0	0
q39	r1	0.005	0	0	0	0
q39	r2	0.005	0	0	0	0
q39	r3	0.005	0	0	0	0
q39	r4	0.005	0	0	0	0
q39	r5	0.005	0	0	0	0
q39	r6	0.005	0	0	0	0
q40	r1	0.144	2318111	7	0	10060557
q40	r2	0.052	2318021	7	2294187	10060557
q40	r3	0.056	2318021	7	2294187	10060557
q40	r4	0.065	2318021	7	2294187	10060557
q40	r5	0.053	2318021	7	2294187	10060557
q40	r6	0.053	2318021	7	2294187	10060557
q41	r1	0.142	2318111	7	2294187	10060557
q41	r2	0.053	2318021	7	2294187	10060557
q41	r3	0.054	2318021	7	2294187	10060557
q41	r4	0.064	2318021	7	2294187	10060557
q41	r5	0.056	2318021	7	2294187	10060557
q41	r6	0.053	2318021	7	2294187	10060557
q42	r1	0.531	897062	6	416	21588423
q42	r2	0.139	899899	6	583600	21588423
q42	r3	0.141	959336	6	583696	21588423
q42	r4	0.142	967516	6	585472	21588423
q42	r5	0.138	909788	6	585840	21588423
q42	r6	0.14	959336	6	585840	21588423
q43	r1	0.142	627388	7	78432	21588423
q43	r2	0.057	627388	7	269008	21588423
q43	r3	0.057	627388	7	269008	21588423
q43	r4	0.082	627388	7	269008	21588423
q43	r5	0.057	627388	7	269008	21588423
