q	run	sec	build_rows	rf_created	prealloc	sel_rows
q1	r1	0.306	76236	4	0	6517593
q1	r2	0.032	76236	4	0	6517593
q1	r3	0.031	76236	4	0	6517593
q1	r4	0.169	76236	4	0	6517593
q1	r5	0.031	76236	4	0	6517593
q1	r6	0.031	76236	4	0	6517593
q2	r1	0.213	4376550	4	0	6517593
q2	r2	0.14	4361157	4	0	6517593
q2	r3	0.133	4305814	4	0	6517593
q2	r4	0.118	4308390	4	0	6517593
q2	r5	0.137	4366081	4	0	6517593
q2	r6	0.139	4357700	4	0	6517593
q3	r1	0.09	37657	4	0	6517593
q3	r2	0.026	37657	4	0	6517593
q3	r3	0.028	37657	4	0	6517593
q3	r4	0.026	37657	4	0	6517593
q3	r5	0.026	37657	4	0	6517593
q3	r6	0.026	37657	4	0	6517593
q4	r1	0.191	4596712	4	0	6517593
q4	r2	0.147	4612447	4	0	6517593
q4	r3	0.113	4607000	4	0	6517593
q4	r4	0.144	4606103	4	0	6517593
q4	r5	0.121	4604803	4	0	6517593
q4	r6	0.138	4607594	4	0	6517593
q5	r1	0.131	2847399	4	0	10030538
q5	r2	0.055	2847399	4	0	10030538
q5	r3	0.055	2847399	4	0	10030538
q5	r4	0.055	2847399	4	0	10030538
q5	r5	0.056	2847399	4	0	10030538
q5	r6	0.055	2847399	4	0	10030538
q6	r1	0.126	2699014	4	0	10030538
q6	r2	0.051	2699014	4	0	10030538
q6	r3	0.052	2699014	4	0	10030538
q6	r4	0.054	2699014	4	0	10030538
q6	r5	0.052	2699014	4	0	10030538
q6	r6	0.051	2699014	4	0	10030538
q7	r1	0.082	2609134	4	0	10030538
q7	r2	0.036	2609134	4	0	10030538
q7	r3	0.031	2609134	4	0	10030538
q7	r4	0.029	2609134	4	0	10030538
q7	r5	0.03	2609134	4	0	10030538
q7	r6	0.03	2609134	4	0	10030538
q8	r1	0.155	4408821	4	0	10030538
q8	r2	0.073	4408821	4	0	10030538
q8	r3	0.072	4408821	4	0	10030538
q8	r4	0.072	4408821	4	0	10030538
q8	r5	0.074	4408821	4	0	10030538
q8	r6	0.075	4408821	4	0	10030538
q9	r1	0.52	4538404	2	0	22022132
q9	r2	0.132	4538404	2	0	22022132
q9	r3	0.134	4538404	2	0	22022132
q9	r4	0.132	4538404	2	0	22022132
q9	r5	0.129	4538404	2	0	22022132
q9	r6	0.133	4538404	2	0	22022132
q10	r1	0.516	4537190	2	0	22022132
q10	r2	0.129	4537190	2	0	22022132
q10	r3	0.13	4537190	2	0	22022132
q10	r4	0.134	4537190	2	0	22022132
q10	r5	0.132	4537190	2	0	22022132
q10	r6	0.134	4537190	2	0	22022132
q11	r1	0.529	4542938	2	0	22022132
q11	r2	0.138	4542938	2	0	22022132
q11	r3	0.132	4542938	2	0	22022132
q11	r4	0.133	4542938	2	0	22022132
q11	r5	0.133	4542938	2	0	22022132
q11	r6	0.135	4542938	2	0	22022132
q12	r1	0.146	986746	4	0	8566560
q12	r2	0.065	986746	4	0	8566560
q12	r3	0.061	986746	4	0	8566560
q12	r4	0.065	986746	4	0	8566560
q12	r5	0.061	986746	4	0	8566560
q12	r6	0.062	986746	4	0	8566560
q13	r1	0.104	8729	4	0	8566560
q13	r2	0.025	8729	4	0	8566560
q13	r3	0.025	8729	4	0	8566560
q13	r4	0.025	8729	4	0	8566560
q13	r5	0.025	8729	4	0	8566560
q13	r6	0.025	8729	4	0	8566560
q14	r1	0.154	1579869	4	0	8566560
q14	r2	0.07	1579869	4	0	8566560
q14	r3	0.074	1579869	4	0	8566560
q14	r4	0.073	1579869	4	0	8566560
q14	r5	0.079	1579869	4	0	8566560
q14	r6	0.076	1579869	4	0	8566560
q15	r1	0.043	24025	3	0	2609133
q15	r2	0.021	24025	3	0	2609133
q15	r3	0.02	24025	3	0	2609133
q15	r4	0.02	24025	3	0	2609133
q15	r5	0.021	24025	3	0	2609133
q15	r6	0.021	24025	3	0	2609133
q16	r1	0.041	1418	3	0	2609133
q16	r2	0.019	1418	3	0	2609133
q16	r3	0.018	1418	3	0	2609133
q16	r4	0.019	1418	3	0	2609133
q16	r5	0.018	1418	3	0	2609133
q16	r6	0.019	1418	3	0	2609133
q17	r1	0.499	297291	3	0	19973278
q17	r2	0.122	297291	3	0	19973278
q17	r3	0.122	297291	3	0	19973278
q17	r4	0.121	297291	3	0	19973278
q17	r5	0.121	297291	3	0	19973278
q17	r6	0.122	297291	3	0	19973278
q18	r1	0.148	391680	4	0	47598247
q18	r2	0.046	391680	4	0	47598247
q18	r3	0.046	391680	4	0	47598247
q18	r4	0.046	391680	4	0	47598247
q18	r5	0.046	391680	4	0	47598247
q18	r6	0.049	391680	4	0	47598247
q19	r1	0.14	484	4	0	47598247
q19	r2	0.039	484	4	0	47598247
q19	r3	0.039	484	4	0	47598247
q19	r4	0.038	484	4	0	47598247
q19	r5	0.039	484	4	0	47598247
q19	r6	0.039	484	4	0	47598247
q20	r1	0.135	443	4	0	47598247
q20	r2	0.038	443	4	0	47598247
q20	r3	0.037	443	4	0	47598247
q20	r4	0.037	443	4	0	47598247
q20	r5	0.037	443	4	0	47598247
q20	r6	0.038	443	4	0	47598247
q21	r1	0.148	1395628	4	0	47598247
q21	r2	0.051	1395628	4	0	47598247
q21	r3	0.05	1395628	4	0	47598247
q21	r4	0.052	1395628	4	0	47598247
q21	r5	0.049	1395628	4	0	47598247
q21	r6	0.048	1395628	4	0	47598247
q22	r1	0.148	1381467	4	0	47598247
q22	r2	0.046	1381467	4	0	47598247
q22	r3	0.045	1381467	4	0	47598247
q22	r4	0.045	1381467	4	0	47598247
q22	r5	0.046	1381467	4	0	47598247
q22	r6	0.044	1381467	4	0	47598247
q23	r1	0.653	41793296	4	0	47598247
q23	r2	0.49	41793296	4	0	47598247
q23	r3	0.487	41793296	4	0	47598247
q23	r4	0.478	41793296	4	0	47598247
q23	r5	0.483	41793296	4	0	47598247
q23	r6	0.48	41793296	4	0	47598247
q24	r1	0.453	37218260	7	0	46835282
q24	r2	0.283	37218260	7	0	46835282
q24	r3	0.27	37218260	7	0	46835282
q24	r4	0.263	37218260	7	0	46835282
q24	r5	0.262	37218260	7	0	46835282
q24	r6	0.274	37218260	7	0	46835282
q25	r1	0.389	36428979	7	0	46835282
q25	r2	0.266	36428979	7	0	46835282
q25	r3	0.26	36428979	7	0	46835282
q25	r4	0.245	36428979	7	0	46835282
q25	r5	0.266	36428979	7	0	46835282
q25	r6	0.251	36428979	7	0	46835282
q26	r1	0.861	38409456	7	0	46835282
q26	r2	0.671	38409456	7	0	46835282
q26	r3	0.635	38409456	7	0	46835282
q26	r4	0.688	38409456	7	0	46835282
q26	r5	0.646	38409456	7	0	46835282
q26	r6	0.64	38409456	7	0	46835282
q27	r1	0.213	2608335	5	0	46685628
q27	r2	0.081	2608335	5	0	46685628
q27	r3	0.077	2608335	5	0	46685628
q27	r4	0.079	2608335	5	0	46685628
q27	r5	0.078	2608335	5	0	46685628
q27	r6	0.076	2608335	5	0	46685628
q28	r1	0.191	31706	5	0	46685628
q28	r2	0.071	31706	5	0	46685628
q28	r3	0.07	31706	5	0	46685628
q28	r4	0.067	31706	5	0	46685628
q28	r5	0.069	31706	5	0	46685628
q28	r6	0.068	31706	5	0	46685628
q29	r1	0.265	13027408	6	0	46685628
q29	r2	0.183	13828067	6	0	46685628
q29	r3	0.16	13367147	6	0	46685628
q29	r4	0.207	16062490	6	0	46685628
q29	r5	0.159	14001075	6	0	46685628
q29	r6	0.174	14987778	6	0	46685628
q30	r1	0.159	6423109	6	0	46685628
q30	r2	0.084	6738101	6	0	46685628
q30	r3	0.089	8142356	6	0	46685628
q30	r4	0.091	8170050	6	0	46685628
q30	r5	0.089	8178820	6	0	46685628
q30	r6	0.108	9493687	6	0	46685628
q31	r1	0.277	4560927	6	0	49825967
q31	r2	0.107	4560702	6	0	49825967
q31	r3	0.108	4560471	6	0	49825967
q31	r4	0.123	4563002	6	0	49825967
q31	r5	0.105	4557198	6	0	49825967
q31	r6	0.105	4557858	6	0	49825967
q32	r1	0.26	3798432	6	0	49825967
q32	r2	0.095	3797251	6	0	49825967
q32	r3	0.095	3797251	6	0	49825967
q32	r4	0.095	3797251	6	0	49825967
q32	r5	0.096	3797851	6	0	49825967
q32	r6	0.095	3797251	6	0	49825967
q33	r1	0.265	5817349	7	0	49825967
q33	r2	0.113	5817349	7	0	49825967
q33	r3	0.105	5817349	7	0	49825967
q33	r4	0.104	5817349	7	0	49825967
q33	r5	0.104	5817349	7	0	49825967
q33	r6	0.103	5817349	7	0	49825967
q34	r1	0.31	7395612	7	0	49825967
q34	r2	0.141	7464885	7	0	49825967
q34	r3	0.131	7462631	7	0	49825967
q34	r4	0.129	7513435	7	0	49825967
q34	r5	0.127	7427543	7	0	49825967
q34	r6	0.131	7490967	7	0	49825967
q35	r1	0.245	3153495	6	0	44757137
q35	r2	0.082	3153495	6	0	44757137
q35	r3	0.081	3153495	6	0	44757137
q35	r4	0.082	3153495	6	0	44757137
q35	r5	0.083	3153495	6	0	44757137
q35	r6	0.08	3153495	6	0	44757137
q36	r1	0.133	3140357	6	0	41913011
q36	r2	0.055	3140357	6	0	41913011
q36	r3	0.057	3140357	6	0	41913011
q36	r4	0.055	3140357	6	0	41913011
q36	r5	0.056	3140357	6	0	41913011
q36	r6	0.055	3140357	6	0	41913011
q37	r1	0.207	5983268	6	0	44757137
q37	r2	0.089	5990005	6	0	44757137
q37	r3	0.091	5814261	6	0	44757137
q37	r4	0.09	5994026	6	0	44757137
q37	r5	0.086	5977639	6	0	44757137
q37	r6	0.087	5978461	6	0	44757137
q38	r1	0.007	0	0	0	0
q38	r2	0.005	0	0	0	0
q38	r3	0.005	0	0	0	0
q38	r4	0.005	0	0	0	0
q38	r5	0.005	0	0	0	0
q38	r6	0.005	0	0	0	0
q39	r1	0.005	0	0	0	0
q39	r2	0.005	0	0	0	0
q39	r3	0.005	0	0	0	0
q39	r4	0.005	0	0	0	0
q39	r5	0.005	0	0	0	0
q39	r6	0.005	0	0	0	0
q40	r1	0.149	2318111	7	0	10060557
q40	r2	0.058	2318021	7	0	10060557
q40	r3	0.054	2318021	7	0	10060557
q40	r4	0.065	2318021	7	0	10060557
q40	r5	0.055	2318021	7	0	10060557
q40	r6	0.054	2318021	7	0	10060557
q41	r1	0.14	2318111	7	0	10060557
q41	r2	0.054	2318021	7	0	10060557
q41	r3	0.054	2318021	7	0	10060557
q41	r4	0.063	2318021	7	0	10060557
q41	r5	0.051	2318021	7	0	10060557
q41	r6	0.054	2318021	7	0	10060557
q42	r1	0.524	957199	6	0	21588423
q42	r2	0.141	959336	6	0	21588423
q42	r3	0.139	934915	6	0	21588423
q42	r4	0.139	959336	6	0	21588423
q42	r5	0.138	888882	6	0	21588423
q42	r6	0.141	946988	6	0	21588423
q43	r1	0.145	627388	7	0	21588423
q43	r2	0.057	627388	7	0	21588423
q43	r3	0.057	627388	7	0	21588423
q43	r4	0.081	627388	7	0	21588423
q43	r5	0.058	627388	7	0	21588423
q43	r6	0.057	627388	7	0	21588423
q44	r1	0.543	2393366	6	0	21588423
q44	r2	0.151	2309105	6	0	21588423
q44	r3	0.153	2247385	6	0	21588423
q44	r4	0.151	2365065	6	0	21588423
q44	r5	0.154	2399605	6	0	21588423
q44	r6	0.155	2399605	6	0	21588423
q45	r1	0.265	10469345	8	0	21588430
q45	r2	0.211	12125690	8	0	21588430
q45	r3	0.12	11070858	8	0	21588430
q45	r4	0.182	10856768	8	0	21588430
q45	r5	0.282	12082738	8	0	21588430
q45	r6	0.129	13276868	8	0	21588430
q46	r1	0.207	12715367	8	0	21588430
q46	r2	0.126	13061944	8	0	21588430
q46	r3	0.127	13784742	8	0	21588430
q46	r4	0.121	12031315	8	0	21588430
q46	r5	0.125	14046699	8	0	21588430
q46	r6	0.123	13477747	8	0	21588430
q47	r1	0.208	13085996	8	0	21588430
q47	r2	0.13	13686733	8	0	21588430
q47	r3	0.125	13387448	8	0	21588430
q47	r4	0.126	14050033	8	0	21588430
q47	r5	0.12	14043607	8	0	21588430
q47	r6	0.115	12320516	8	0	21588430
q48	r1	0.213	12649661	8	0	21588430
q48	r2	0.126	11865057	8	0	21588430
q48	r3	0.13	13289144	8	0	21588430
q48	r4	0.141	15274375	8	0	21588430
q48	r5	0.135	14847543	8	0	21588430
q48	r6	0.128	12983302	8	0	21588430
q49	r1	0.538	39869	6	0	23402400
q49	r2	0.133	39869	6	0	23402400
q49	r3	0.133	39869	6	0	23402400
q49	r4	0.13	39869	6	0	23402400
q49	r5	0.129	39869	6	0	23402400
q49	r6	0.129	39869	6	0	23402400
q50	r1	0.53	19543	6	0	23402400
q50	r2	0.134	19543	6	0	23402400
q50	r3	0.127	19543	6	0	23402400
q50	r4	0.128	19543	6	0	23402400
q50	r5	0.127	19543	6	0	23402400
q50	r6	0.127	19543	6	0	23402400
q51	r1	0.537	49283	6	0	23402400
q51	r2	0.134	49283	6	0	23402400
q51	r3	0.134	49283	6	0	23402400
q51	r4	0.133	49283	6	0	23402400
q51	r5	0.134	49283	6	0	23402400
q51	r6	0.135	49283	6	0	23402400
q52	r1	0.337	4988348	8	0	25227847
q52	r2	0.106	4988348	8	0	25227847
q52	r3	0.102	4988348	8	0	25227847
q52	r4	0.099	4988348	8	0	25227847
q52	r5	0.101	4988348	8	0	25227847
q52	r6	0.099	4988348	8	0	25227847
q53	r1	0.328	4797338	8	0	25227847
q53	r2	0.094	4797339	8	0	25227847
q53	r3	0.094	4797339	8	0	25227847
q53	r4	0.097	4797341	8	0	25227847
q53	r5	0.094	4797339	8	0	25227847
q53	r6	0.097	4797339	8	0	25227847
q54	r1	0.301	227637	8	0	25227847
q54	r2	0.088	227637	8	0	25227847
q54	r3	0.086	227637	8	0	25227847
q54	r4	0.11	227637	8	0	25227847
q54	r5	0.086	227637	8	0	25227847
q54	r6	0.084	227637	8	0	25227847
q55	r1	0.179	252690	8	0	25227847
q55	r2	0.063	252689	8	0	25227847
q55	r3	0.063	252688	8	0	25227847
q55	r4	0.063	252690	8	0	25227847
q55	r5	0.063	252688	8	0	25227847
q55	r6	0.063	252687	8	0	25227847
q56	r1	0.441	23404282	7	0	51343716
q56	r2	0.272	23404282	7	0	51343716
q56	r3	0.27	23404282	7	0	51343716
q56	r4	0.27	23404282	7	0	51343716
q56	r5	0.262	23404282	7	0	51343716
q56	r6	0.262	23404282	7	0	51343716
q57	r1	0.45	24042103	7	0	51343716
q57	r2	0.295	24042103	7	0	51343716
q57	r3	0.293	24042103	7	0	51343716
q57	r4	0.296	24042103	7	0	51343716
q57	r5	0.29	24042103	7	0	51343716
q57	r6	0.29	24042103	7	0	51343716
q58	r1	0.444	24022012	7	0	51343716
q58	r2	0.293	24022012	7	0	51343716
q58	r3	0.291	24022012	7	0	51343716
q58	r4	0.289	24022012	7	0	51343716
q58	r5	0.289	24022012	7	0	51343716
q58	r6	0.289	24022012	7	0	51343716
q59	r1	0.43	23557326	7	0	51343716
q59	r2	0.28	23557326	7	0	51343716
q59	r3	0.275	23557326	7	0	51343716
q59	r4	0.27	23557326	7	0	51343716
q59	r5	0.275	23557326	7	0	51343716
q59	r6	0.275	23557326	7	0	51343716
q60	r1	0.251	2296250	6	0	50442373
q60	r2	0.097	2296250	6	0	50442373
q60	r3	0.098	2296250	6	0	50442373
q60	r4	0.096	2296250	6	0	50442373
q60	r5	0.094	2296250	6	0	50442373
q60	r6	0.095	2296250	6	0	50442373
q61	r1	0.196	5254795	6	0	50442373
q61	r2	0.118	5149965	6	0	50442373
q61	r3	0.17	5149965	6	0	50442373
q61	r4	0.149	5149965	6	0	50442373
q61	r5	0.123	5149965	6	0	50442373
q61	r6	0.098	5149965	6	0	50442373
q62	r1	0.167	5208037	6	0	50442373
q62	r2	0.139	5116455	6	0	50442373
q62	r3	0.115	5116455	6	0	50442373
q62	r4	0.139	5116455	6	0	50442373
q62	r5	0.092	5116455	6	0	50442373
q62	r6	0.085	5116455	6	0	50442373
q63	r1	0.24	5197446	6	0	50442373
q63	r2	0.105	5119007	6	0	50442373
q63	r3	0.123	5119007	6	0	50442373
q63	r4	0.159	5119007	6	0	50442373
q63	r5	0.154	5119007	6	0	50442373
q63	r6	0.105	5119007	6	0	50442373
q64	r1	0.663	42296370	6	0	50442373
q64	r2	0.504	42296370	6	0	50442373
q64	r3	0.503	42296370	6	0	50442373
q64	r4	0.511	42296370	6	0	50442373
q64	r5	0.504	42296370	6	0	50442373
q64	r6	0.508	42296370	6	0	50442373
q65	r1	0.27	5742089	6	0	50442373
q65	r2	0.136	5664816	6	0	50442373
q65	r3	0.122	5650507	6	0	50442373
q65	r4	0.17	5650507	6	0	50442373
q65	r5	0.171	5650507	6	0	50442373
q65	r6	0.17	5650507	6	0	50442373
q66	r1	0.198	132303	5	0	59156128
q66	r2	0.075	132303	5	0	59156128
q66	r3	0.074	132303	5	0	59156128
q66	r4	0.074	132303	5	0	59156128
q66	r5	0.075	132303	5	0	59156128
q66	r6	0.075	132303	5	0	59156128
q67	r1	0.007	0	0	0	0
q67	r2	0.007	0	0	0	0
q67	r3	0.007	0	0	0	0
q67	r4	0.007	0	0	0	0
q67	r5	0.006	0	0	0	0
q67	r6	0.007	0	0	0	0
q68	r1	0.59	2106908	5	0	59156128
q68	r2	0.164	2106908	5	0	59156128
q68	r3	0.166	2106908	5	0	59156128
q68	r4	0.162	2106908	5	0	59156128
q68	r5	0.16	2106908	5	0	59156128
q68	r6	0.164	2106908	5	0	59156128
q69	r1	0.665	4190755	8	0	64661800
q69	r2	0.214	4190330	8	0	64661800
q69	r3	0.205	4190368	8	0	64661800
