design,s,threads,rep,wall_ns,collect_ns,count_ns,insert_ns,latch_ns,ok
unchained,0,1,0,438152480,91016372,121265,347014843,0,1
unchained,0,1,1,432905769,90900270,123147,341882352,0,1
unchained,0,1,2,440677125,99213071,122217,341341837,0,1
unchained,0,1,3,432337665,90913738,123451,341300476,0,1
unchained,0,1,4,432450651,90825530,122437,341502684,0,1
chained,0,1,0,2909887396,0,0,2909887396,0,1
chained,0,1,1,2725231931,0,0,2725231931,0,1
chained,0,1,2,3125857138,0,0,3125857138,0,1
chained,0,1,3,2739289337,0,0,2739289337,0,1
chained,0,1,4,3401833172,0,0,3401833172,0,1
ch-mutex,0,1,0,1208218047,76320996,0,1131809868,1990384,1
ch-mutex,0,1,1,1205416023,76192008,0,1129147056,1990323,1
ch-mutex,0,1,2,1212678762,76433518,0,1136196252,1971403,1
ch-mutex,0,1,3,1219124164,76263981,0,1142798159,1962404,1
ch-mutex,0,1,4,1232660688,76371229,0,1156221666,1978283,1
ch-spin,0,1,0,1192833593,80114071,0,1112642524,1610353,1
ch-spin,0,1,1,1186931590,75536779,0,1111337027,1615820,1
ch-spin,0,1,2,1179892252,75282077,0,1104544895,1604339,1
ch-spin,0,1,3,1178288059,75414671,0,1102812277,1605808,1
ch-spin,0,1,4,1189265548,75422538,0,1113776250,1619978,1
unchained,0,2,0,220859496,45843165,219039,174797292,0,1
unchained,0,2,1,220928200,45866748,220215,174841237,0,1
unchained,0,2,2,220757939,46013291,216841,174527807,0,1
unchained,0,2,3,220397798,45778758,214602,174404438,0,1
unchained,0,2,4,220641619,45782050,216089,174643480,0,1
chained,0,2,0,1930092464,0,0,1930092464,0,1
chained,0,2,1,1986425372,0,0,1986425372,0,1
chained,0,2,2,1904468759,0,0,1904468759,0,1
chained,0,2,3,1948823872,0,0,1948823872,0,1
chained,0,2,4,1922460418,0,0,1922460418,0,1
ch-mutex,0,2,0,598699471,38184532,0,560501402,3288923,1
ch-mutex,0,2,1,592206321,38338174,0,553818315,3521089,1
ch-mutex,0,2,2,592573571,38324463,0,554199640,3462788,1
ch-mutex,0,2,3,601566799,38252159,0,563271916,7084359,1
ch-mutex,0,2,4,596218380,38255561,0,557920611,6476245,1
ch-spin,0,2,0,585773221,37924515,0,547800532,2882522,1
ch-spin,0,2,1,585854533,38040699,0,547770532,2941516,1
ch-spin,0,2,2,584112093,37864088,0,546200199,2782085,1
ch-spin,0,2,3,582883644,37919407,0,544918686,2801226,1
ch-spin,0,2,4,582386333,37787489,0,545009873,2917953,1
unchained,0,4,0,114153969,23351685,331308,90470976,0,1
unchained,0,4,1,113580897,23323536,327742,89929619,0,1
unchained,0,4,2,113203901,23163259,318416,89722226,0,1
unchained,0,4,3,113130002,23134033,322810,89673159,0,1
unchained,0,4,4,113720630,23417606,323429,89979595,0,1
chained,0,4,0,1023135079,0,0,1023135079,0,1
chained,0,4,1,1035129441,0,0,1035129441,0,1
chained,0,4,2,1031471623,0,0,1031471623,0,1
chained,0,4,3,1060886430,0,0,1060886430,0,1
