# join_ht_build_bench
# host: aarch64  cpus=96
# rows=32000000 distinct=8000000 block=65536 umbra_parts=256 ch_parts=256 reps=5 warmup=1 seed=1 pin=1
# timing: unchained collect=bump-partition, count=part-prefix, insert=count+prefix+copy per partition
#         chained insert=slab materialize + atomic xchg/or (no partition)
#         ch-* collect=max-thread scatter, insert=max-thread latch+emplace, wall=parallel region
#         mmap/prefault/reserve are outside the timed region
# latch_pct = 100 * sum_thread(latch_ns) / (threads * wall_ns); CPU share of acquire vs wall
#
design           s    threads   med_ms   min_ms   max_ms    Mrps  collect_ms  count_ms  insert_ms  latch_pct  imb   ok
unchained       0.00        1   432.91   432.34   440.68   73.92       90.91      0.12     341.50      0.00  1.06  ok
chained         0.00        1  2909.89  2725.23  3401.83   11.00        0.00      0.00    2909.89      0.00  1.06  ok
ch-mutex        0.00        1  1212.68  1205.42  1232.66   26.39       76.32      0.00    1136.20      0.16  1.06  ok
ch-spin         0.00        1  1186.93  1178.29  1192.83   26.96       75.42      0.00    1111.34      0.14  1.06  ok
unchained       0.00        2   220.76   220.40   220.93  144.96       45.84      0.22     174.64      0.00  1.06  ok
chained         0.00        2  1930.09  1904.47  1986.43   16.58        0.00      0.00    1930.09      0.00  1.06  ok
ch-mutex        0.00        2   596.22   592.21   601.57   53.67       38.26      0.00     557.92      0.30  1.06  ok
ch-spin         0.00        2   584.11   582.39   585.85   54.78       37.92      0.00     546.20      0.25  1.06  ok
unchained       0.00        4   113.58   113.13   114.15  281.74       23.32      0.32      89.93      0.00  1.06  ok
chained         0.00        4  1031.47  1023.14  1060.89   31.02        0.00      0.00    1031.47      0.00  1.06  ok
ch-mutex        0.00        4   244.31   240.66   280.93  130.98       19.79      0.00     224.59      0.40  1.06  ok
ch-spin         0.00        4   283.66   242.87   302.05  112.81       19.98      0.00     264.03      0.30  1.06  ok
unchained       0.00        8    60.44    59.84    60.82  529.45       12.53      0.44      47.55      0.00  1.06  ok
chained         0.00        8   523.44   521.63   530.85   61.13        0.00      0.00     523.44      0.00  1.06  ok
ch-mutex        0.00        8   145.32   117.54   155.57  220.21       10.92      0.00     134.56      0.34  1.06  ok
ch-spin         0.00        8   116.27   114.10   162.99  275.23       10.79      0.00     106.03      0.40  1.06  ok
unchained       0.00       16    35.06    34.82    35.29  912.66        7.28      0.53      27.29      0.00  1.06  ok
chained         0.00       16   267.87   265.08   269.07  119.46        0.00      0.00     267.87      0.00  1.06  ok
ch-mutex        0.00       16    67.50    65.09    86.27  474.04        5.98      0.00      61.75      0.41  1.06  ok
ch-spin         0.00       16    65.58    65.22    84.26  487.99        6.07      0.00      59.82      0.44  1.06  ok
unchained       0.00       24    28.73    28.51    28.83 1113.74        6.87      0.63      21.13      0.00  1.06  ok
chained         0.00       24   179.29   178.44   180.07  178.48        0.00      0.00     179.29      0.00  1.06  ok
ch-mutex        0.00       24    52.85    52.44    53.56  605.53        4.24      0.00      48.70      0.49  1.06  ok
ch-spin         0.00       24    53.67    52.26    53.93  596.24        4.28      0.00      49.55      0.48  1.06  ok
unchained       0.00       32    25.00    24.95    25.21 1280.00        6.69      0.56      17.77      0.00  1.06  ok
chained         0.00       32   132.53   131.56   133.80  241.45        0.00      0.00     132.53      0.00  1.06  ok
ch-mutex        0.00       32    53.89    49.07    55.36  593.82        3.42      0.00      50.59      0.74  1.06  ok
ch-spin         0.00       32    55.01    51.96    55.46  581.75        3.44      0.00      51.72      0.62  1.06  ok
unchained       0.00       48    23.01    22.94    23.11 1390.81        6.55      0.65      15.79      0.00  1.06  ok
chained         0.00       48    90.61    90.52   132.48  353.17        0.00      0.00      90.61      0.00  1.06  ok
ch-mutex        0.00       48    45.72    45.51    46.21  699.94        2.17      0.00      43.63      4.22  1.06  ok
ch-spin         0.00       48    46.55    45.97   200.50  687.50        2.17      0.00      44.32      4.24  1.06  ok
unchained       0.00       64    21.04    20.91    21.14 1520.93        6.34      0.57      14.12      0.00  1.06  ok
chained         0.00       64    65.68    65.40    66.01  487.24        0.00      0.00      65.68      0.00  1.06  ok
ch-mutex        0.00       64    53.79    48.63    71.64  594.93        1.84      0.00      50.43      4.33  1.06  ok
ch-spin         0.00       64    49.34    49.06    49.77  648.63        1.85      0.00      47.52      4.41  1.06  ok
unchained       0.00       96    25.00    19.35    26.94 1279.89        7.34      0.68      16.29      0.00  1.06  ok
chained         0.00       96    46.13    45.99   325.78  693.64        0.00      0.00      46.13      0.00  1.06  ok
ch-mutex        0.00       96    54.97    53.83    71.77  582.09        1.25      0.00      53.73      9.80  1.06  ok
ch-spin         0.00       96    57.81    53.32    77.10  553.55        1.27      0.00      55.00      9.76  1.06  ok
unchained       0.50        1   556.25   554.64   559.86   57.53       91.11      0.12     465.18      0.00  1.05  ok
chained         0.50        1  3669.94  3598.07  3703.49    8.72        0.00      0.00    3669.94      0.00  1.05  ok
ch-mutex        0.50        1  1771.58  1766.71  1788.56   18.06       76.20      0.00    1695.10      0.11  1.04  ok
ch-spin         0.50        1  1759.32  1755.88  1773.76   18.19       74.63      0.00    1684.80      0.09  1.04  ok
unchained       0.50        2   284.96   284.41   285.70  112.30       46.00      0.22     238.62      0.00  1.05  ok
chained         0.50        2  1798.70  1782.95  1842.85   17.79        0.00      0.00    1798.70      0.00  1.05  ok
ch-mutex        0.50        2   900.80   899.77   906.43   35.52       38.18      0.00     862.57      0.11  1.04  ok
ch-spin         0.50        2   894.79   893.10   897.03   35.76       37.39      0.00     857.44      0.10  1.04  ok
unchained       0.50        4   147.67   147.29   148.51  216.70       23.29      0.35     124.05      0.00  1.05  ok
chained         0.50        4   884.74   878.49   896.59   36.17        0.00      0.00     884.74      0.00  1.05  ok
ch-mutex        0.50        4   458.97   453.94   462.54   69.72       19.16      0.00     439.89      0.22  1.04  ok
ch-spin         0.50        4   454.06   452.08   455.56   70.48       18.77      0.00     435.33      0.14  1.04  ok
unchained       0.50        8    79.60    79.35    79.81  401.99       12.02      0.48      67.04      0.00  1.05  ok
chained         0.50        8   427.56   419.90   442.73   74.84        0.00      0.00     427.56      0.00  1.05  ok
ch-mutex        0.50        8   239.16   238.97   243.20  133.80       10.57      0.00     228.74      0.17  1.04  ok
ch-spin         0.50        8   237.40   235.30   238.27  134.79       10.18      0.00     227.14      0.19  1.04  ok
unchained       0.50       16    46.32    45.84    47.52  690.83        7.27      0.58      38.46      0.00  1.05  ok
chained         0.50       16   208.97   206.43   212.41  153.13        0.00      0.00     208.97      0.00  1.05  ok
ch-mutex        0.50       16   127.95   125.19   128.45  250.09        6.02      0.00     121.94      0.18  1.04  ok
ch-spin         0.50       16   124.42   124.04   129.72  257.19        6.00      0.00     118.48      0.18  1.04  ok
unchained       0.50       24    37.42    37.27    37.57  855.15        6.82      0.62      29.96      0.00  1.05  ok
chained         0.50       24   151.94   149.71   153.75  210.61        0.00      0.00     151.94      0.00  1.05  ok
ch-mutex        0.50       24    90.71    89.52    91.85  352.76        4.33      0.00      86.39      0.20  1.04  ok
ch-spin         0.50       24    89.57    89.01    91.25  357.28        4.32      0.00      85.35      0.20  1.04  ok
unchained       0.50       32    32.79    32.70    32.92  975.81        6.71      0.62      25.46      0.00  1.05  ok
chained         0.50       32   103.43   101.67   107.71  309.40        0.00      0.00     103.43      0.00  1.05  ok
ch-mutex        0.50       32    75.22    75.05    75.72  425.43        3.34      0.00      71.90      0.30  1.04  ok
ch-spin         0.50       32    75.03    74.57    81.37  426.51        3.34      0.00      71.68      0.27  1.04  ok
unchained       0.50       48    29.57    29.43    30.56 1082.14        6.57      0.66      22.34      0.00  1.05  ok
chained         0.50       48    78.09    76.85    85.36  409.79        0.00      0.00      78.09      0.00  1.05  ok
ch-mutex        0.50       48    67.79    66.03    68.26  472.05        2.33      0.00      65.44      0.84  1.04  ok
ch-spin         0.50       48    67.16    66.30    67.77  476.49        2.32      0.00      64.73      0.75  1.04  ok
unchained       0.50       64    26.41    26.30    26.59 1211.70        6.29      0.66      19.47      0.00  1.05  ok
chained         0.50       64    51.01    50.17   258.24  627.29        0.00      0.00      51.01      0.00  1.05  ok
ch-mutex        0.50       64    65.86    64.79    71.68  485.86        1.80      0.00      64.09      1.81  1.04  ok
ch-spin         0.50       64    64.96    64.69    66.35  492.60        1.79      0.00      63.07      1.76  1.04  ok
unchained       0.50       96    24.78    24.58    30.77 1291.26        5.75      0.69      18.35      0.00  1.05  ok
chained         0.50       96    39.96    39.40   322.77  800.71        0.00      0.00      39.96      0.00  1.05  ok
ch-mutex        0.50       96    88.24    71.56    95.95  362.66        1.27      0.00      86.77      5.29  1.04  ok
ch-spin         0.50       96   103.00    71.69   108.04  310.67        1.25      0.00     100.36      5.96  1.04  ok
unchained       1.00        1   485.14   483.20   486.03   65.96       87.21      0.13     397.75      0.00 16.17  ok
chained         1.00        1  1516.34  1474.32  1569.30   21.10        0.00      0.00    1516.34      0.00 16.17  ok
ch-mutex        1.00        1  1423.70  1393.30  1473.82   22.48       75.12      0.00    1348.37      0.14 16.19  ok
ch-spin         1.00        1  1421.61  1400.58  1449.17   22.51       75.88      0.00    1345.80      0.11 16.19  ok
unchained       1.00        2   247.09   246.09   247.45  129.51       44.33      0.21     202.58      0.00 16.17  ok
chained         1.00        2   981.94   946.84  1002.77   32.59        0.00      0.00     981.94      0.00 16.17  ok
ch-mutex        1.00        2   719.98   717.75   721.94   44.45       37.65      0.00     680.85      0.14 16.19  ok
ch-spin         1.00        2   704.46   696.90   730.14   45.42       38.02      0.00     666.57      0.12 16.19  ok
unchained       1.00        4   128.70   128.38   128.91  248.63       23.77      0.36     104.56      0.00 16.17  ok
chained         1.00        4   504.79   491.80   511.50   63.39        0.00      0.00     504.79      0.00 16.17  ok
ch-mutex        1.00        4   361.33   359.24   365.47   88.56       18.79      0.00     342.58      0.21 16.19  ok
ch-spin         1.00        4   362.55   354.20   363.08   88.26       19.00      0.00     343.57      0.19 16.19  ok
unchained       1.00        8    76.61    76.45    77.15  417.71       11.86      0.45      64.29      0.00 16.17  ok
chained         1.00        8   264.51   254.64   266.14  120.98        0.00      0.00     264.51      0.00 16.17  ok
ch-mutex        1.00        8   186.46   184.17   187.33  171.61        9.63      0.00     176.83      0.29 16.19  ok
ch-spin         1.00        8   183.62   183.33   187.53  174.27        9.75      0.00     174.02      0.25 16.19  ok
unchained       1.00       16    52.17    52.10    52.30  613.44        6.96      0.52      44.68      0.00 16.17  ok
chained         1.00       16   138.06   135.37   138.14  231.78        0.00      0.00     138.06      0.00 16.17  ok
ch-mutex        1.00       16    97.79    96.61    98.14  327.24        5.44      0.00      92.38      1.13 16.19  ok
ch-spin         1.00       16    96.32    95.98    96.90  332.21        5.46      0.00      91.03      1.00 16.19  ok
unchained       1.00       24    45.70    45.58    46.17  700.19        6.68      0.53      38.51      0.00 16.17  ok
chained         1.00       24    94.16    92.26    97.73  339.83        0.00      0.00      94.16      0.00 16.17  ok
ch-mutex        1.00       24    67.90    67.65    68.91  471.28        3.87      0.00      64.11      1.70 16.19  ok
ch-spin         1.00       24    67.53    67.13    67.95  473.88        3.90      0.00      63.56      1.39 16.19  ok
unchained       1.00       32    43.07    42.77    43.32  742.97        6.63      0.56      35.82      0.00 16.17  ok
chained         1.00       32    80.61    76.41    87.23  396.97        0.00      0.00      80.61      0.00 16.17  ok
ch-mutex        1.00       32    57.55    56.84    58.07  556.08        3.00      0.00      54.44      5.63 16.19  ok
ch-spin         1.00       32    57.40    56.43    57.83  557.49        3.04      0.00      54.34      5.25 16.19  ok
unchained       1.00       48    40.14    40.07    40.36  797.13        6.55      0.58      33.06      0.00 16.17  ok
chained         1.00       48    76.31    72.49    82.68  419.35        0.00      0.00      76.31      0.00 16.17  ok
ch-mutex        1.00       48    58.87    57.63    59.27  543.56        2.06      0.00      56.79     30.13 16.19  ok
ch-spin         1.00       48    73.25    72.28    93.99  436.87        2.05      0.00      71.30     17.27 16.19  ok
unchained       1.00       64    39.02    38.79    39.09  819.99        6.36      0.62      32.00      0.00 16.17  ok
chained         1.00       64    78.65    73.82    83.87  406.86        0.00      0.00      78.65      0.00 16.17  ok
ch-mutex        1.00       64    60.17    59.39    64.08  531.85        1.56      0.00      58.59     41.16 16.19  ok
ch-spin         1.00       64    68.22    64.20    85.47  469.07        1.56      0.00      66.67     27.05 16.19  ok
unchained       1.00       96    37.56    37.21   192.09  851.86        5.69      0.67      31.26      0.00 16.17  ok
chained         1.00       96    84.62    81.85   306.78  378.17        0.00      0.00      84.62      0.00 16.17  ok
ch-mutex        1.00       96    77.42    65.28   104.85  413.34        1.09      0.00      74.67     52.58 16.19  ok
ch-spin         1.00       96    71.29    68.54   148.52  448.84        1.09      0.00      70.03     40.42 16.19  ok
unchained       1.25        1   434.27   434.01   435.25   73.69       93.95      0.12     340.21      0.00 56.88  ok
chained         1.25        1   594.64   579.67   600.78   53.81        0.00      0.00     594.64      0.00 56.88  ok
ch-mutex        1.25        1   716.89   708.91   745.48   44.64       72.95      0.00     643.81      0.28 56.89  ok
ch-spin         1.25        1   742.60   703.08   778.74   43.09       83.24      0.00     659.18      0.22 56.89  ok
unchained       1.25        2   234.73   234.38   235.33  136.33       47.58      0.20     187.04      0.00 56.88  ok
chained         1.25        2   570.68   559.12   592.45   56.07        0.00      0.00     570.68      0.00 56.88  ok
ch-mutex        1.25        2   373.21   363.58   379.89   85.74       36.50      0.00     336.55      0.28 56.89  ok
ch-spin         1.25        2   380.47   375.21   397.57   84.11       41.58      0.00     338.77      0.23 56.89  ok
unchained       1.25        4   152.78   152.16   154.70  209.45       24.31      0.28     128.19      0.00 56.88  ok
chained         1.25        4   383.21   363.51   391.55   83.50        0.00      0.00     383.21      0.00 56.88  ok
ch-mutex        1.25        4   191.83   187.84   196.37  166.81       18.25      0.00     173.47      0.47 56.89  ok
ch-spin         1.25        4   199.43   192.69   204.80  160.46       20.81      0.00     178.55      0.43 56.89  ok
unchained       1.25        8   109.27   109.07   109.47  292.86       13.28      0.34      95.56      0.00 56.88  ok
chained         1.25        8   262.65   237.58   262.83  121.83        0.00      0.00     262.65      0.00 56.88  ok
ch-mutex        1.25        8   106.58   105.38   107.86  300.25        9.16      0.00      97.47      2.90 56.89  ok
ch-spin         1.25        8   109.65   107.76   114.08  291.84       10.37      0.00      99.21      2.67 56.89  ok
unchained       1.25       16    88.92    88.82    89.18  359.89        7.70      0.40      80.87      0.00 56.88  ok
